"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Moreira","Grosso","López Medrano","D Alessandro","Sardella","Zona 1","Zona 2","Zona 3"
"Fernando Moreira a intendente por Unión por la Patria",0.383,0.367,0.397,0.356,0.354,0.42,0.405,0.378,0.374,0.4,0.68,0.463,0.226,0.184,0.031,0.387,0.37,0.394
"Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.301,0.288,0.313,0.29,0.289,0.301,0.33,0.292,0.309,0.298,0.075,0.242,0.649,0.626,0.383,0.309,0.31,0.281
"Hernán Sardella a intendente por la Libertad Avanza",0.2,0.253,0.152,0.167,0.257,0.167,0.161,0.235,0.166,0.215,0.211,0.201,0.068,0.102,0.538,0.195,0.219,0.184
"El candidato del Frente de Izquierda",0.019,0.013,0.024,0.021,0.016,0.023,0.019,0.02,0.017,0.021,0.004,0.02,0.002,0.009,0,0.018,0.011,0.03
"En blanco",0.03,0.031,0.03,0.065,0.031,0.026,0.011,0.019,0.048,0.015,0.005,0.028,0.04,0.029,0.036,0.039,0.036,0.011
"No sabe",0.067,0.048,0.084,0.101,0.053,0.063,0.074,0.056,0.086,0.051,0.025,0.046,0.015,0.05,0.012,0.052,0.054,0.1
