"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Muy baja",0.076,0.068,0.083,0.11,0.071,0.053,0.083,0.136,0.071,0.023,0.063,0.092,0.066,0.096,0.109,0.051,0.056,0.066,0.087,0.061
"Baja",0.059,0.047,0.069,0.057,0.06,0.047,0.073,0.066,0.079,0.025,0.034,0.058,0.029,0.036,0.148,0.084,0.062,0.063,0.113,0.075
"Moderada",0.105,0.098,0.112,0.105,0.096,0.101,0.131,0.135,0.11,0.069,0.078,0.1,0.1,0.097,0.067,0.069,0.143,0.116,0.152,0.089
"Alta",0.227,0.222,0.231,0.185,0.228,0.24,0.25,0.206,0.226,0.249,0.232,0.198,0.254,0.271,0.127,0.218,0.236,0.211,0.209,0.204
"Muy alta",0.533,0.565,0.505,0.543,0.545,0.559,0.463,0.457,0.514,0.634,0.593,0.552,0.551,0.5,0.549,0.578,0.503,0.544,0.439,0.571
