"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Muy buena",0.068,0.075,0.063,0.091,0.065,0.062,0.061,0.075,0.047,0.089,0.094,0.069,0.058,0.08,0.079,0.061,0.065,0.03,0.07,0.069
"Buena",0.176,0.168,0.182,0.13,0.173,0.197,0.203,0.161,0.171,0.197,0.176,0.158,0.192,0.195,0.146,0.159,0.186,0.159,0.149,0.229
"Ni buena ni mala",0.275,0.259,0.289,0.258,0.264,0.267,0.328,0.278,0.284,0.259,0.249,0.272,0.277,0.262,0.234,0.25,0.33,0.245,0.285,0.299
"Mala",0.257,0.259,0.255,0.233,0.266,0.264,0.255,0.238,0.279,0.249,0.244,0.264,0.276,0.252,0.26,0.308,0.187,0.304,0.314,0.171
"Muy mala",0.224,0.239,0.211,0.288,0.232,0.21,0.153,0.248,0.219,0.206,0.237,0.237,0.197,0.211,0.281,0.222,0.232,0.262,0.182,0.232
