"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Muy buena",0.081,0.088,0.075,0.133,0.068,0.046,0.094,0.125,0.086,0.027,0.057,0.09,0.067,0.084,0.047,0.078,0.078,0.096,0.111,0.067
"Buena",0.093,0.088,0.098,0.054,0.092,0.105,0.129,0.106,0.113,0.054,0.061,0.096,0.099,0.096,0.074,0.076,0.123,0.087,0.103,0.072
"Ni buena ni mala",0.191,0.159,0.219,0.181,0.179,0.197,0.224,0.177,0.203,0.191,0.202,0.171,0.172,0.204,0.241,0.176,0.2,0.146,0.25,0.179
"Mala",0.288,0.277,0.297,0.234,0.313,0.294,0.286,0.298,0.281,0.285,0.296,0.281,0.273,0.303,0.396,0.298,0.256,0.307,0.28,0.304
"Muy mala",0.347,0.388,0.311,0.398,0.348,0.358,0.267,0.294,0.317,0.443,0.384,0.362,0.389,0.313,0.242,0.372,0.343,0.364,0.256,0.378
