"var","categoria","Horacio Rodríguez Larreta – Gerardo Morales","Javier Milei – José Luis Espert","No sabe"
"P04","Tengo trabajo estable",0.43,0.481,0.408
"P04","Realizo changas o trabajos de vez en cuando",0.157,0.202,0.181
"P04","No tengo trabajo",0.141,0.204,0.199
"P04","Soy jubilado o pensionado",0.272,0.113,0.212
"P05","1",0.357,0.383,0.229
"P05","2",0.067,0.089,0.057
"P05","3",0.075,0.098,0.052
"P05","4",0.104,0.096,0.071
"P05","5",0.175,0.186,0.16
"P05","6",0.04,0.035,0.053
"P05","7",0.046,0.026,0.105
"P05","8",0.039,0.016,0.063
"P05","9",0.097,0.071,0.21
"P06","1",0.2,0.141,0.379
"P06","2",0.045,0.027,0.056
"P06","3",0.034,0.033,0.061
"P06","4",0.047,0.037,0.054
"P06","5",0.206,0.18,0.192
"P06","6",0.06,0.044,0.029
"P06","7",0.087,0.095,0.042
"P06","8",0.065,0.096,0.033
"P06","9",0.256,0.347,0.154
"P07","1",0.284,0.181,0.481
"P07","2",0.04,0.034,0.039
"P07","3",0.035,0.034,0.026
"P07","4",0.018,0.03,0.021
"P07","5",0.128,0.154,0.092
"P07","6",0.036,0.026,0.01
"P07","7",0.053,0.064,0.02
"P07","8",0.042,0.062,0.028
"P07","9",0.364,0.415,0.283
"P09","Del Frente de Todos y el peronismo",0.179,0.09,0.558
"P09","De Cambiemos",0.652,0.233,0.177
"P09","De los Liberales libertarios",0.05,0.548,0.045
"P09","De la Izquierda",0.022,0.015,0.051
"P09","No sabe",0.097,0.114,0.169
"P10","A Alberto Fernández",0.237,0.142,0.203
"P10","A Sergio Massa",0.254,0.299,0.161
"P10","A algún candidato del peronismo",0.191,0.409,0.148
"P10","A algún candidato del kirchnerismo",0.318,0.15,0.488
"P11","A Alberto Fernández",0.094,0.064,0.123
"P11","A Sergio Massa",0.171,0.244,0.099
"P11","A algún candidato del peronismo",0.221,0.406,0.105
"P11","A Cristina Fernández de Kirchner",0.514,0.286,0.673
"P12","A Horacio Rodriguez Larreta",0.261,0.098,0.207
"P12","A Mauricio Macri",0.353,0.385,0.37
"P12","A Patricia Bullrich",0.279,0.459,0.267
"P12","A Facundo Manes",0.066,0.049,0.1
"P12","A Gerardo Morales",0.041,0.009,0.056
"P13","Seguro lo votaria",0.156,0.314,0.159
"P13","Quizás lo votaría",0.279,0.456,0.316
"P13","Nunca lo votaría",0.565,0.23,0.525
"P14","Lo votaría",0.419,0.249,0.12
"P14","Puede que lo vote",0.261,0.318,0.08
"P14","Nunca lo votaría",0.257,0.358,0.709
"P14","No sabe",0.063,0.075,0.091
"P15","Lo votaría",0.104,0.069,0.181
"P15","Puede que lo vote",0.14,0.12,0.297
