"var","categoria","Del Frente de Todos y el peronismo","De Cambiemos","De los Liberales libertarios","De la Izquierda","No sabe"
"P04","Tengo trabajo estable",0.394,0.406,0.512,0.481,0.315
"P04","Realizo changas o trabajos de vez en cuando",0.217,0.168,0.231,0.264,0.268
"P04","No tengo trabajo",0.201,0.169,0.18,0.147,0.259
"P04","Soy jubilado o pensionado",0.188,0.257,0.077,0.108,0.158
"P05","1",0.251,0.375,0.38,0.156,0.257
"P05","2",0.067,0.075,0.091,0.088,0.074
"P05","3",0.047,0.093,0.097,0.023,0.045
"P05","4",0.061,0.102,0.075,0.063,0.078
"P05","5",0.138,0.173,0.171,0.081,0.287
"P05","6",0.042,0.028,0.034,0.046,0.051
"P05","7",0.115,0.036,0.034,0.072,0.041
"P05","8",0.062,0.025,0.025,0.083,0.026
"P05","9",0.217,0.093,0.093,0.388,0.141
"P06","1",0.424,0.193,0.15,0.366,0.24
"P06","2",0.066,0.043,0.029,0.096,0.048
"P06","3",0.068,0.033,0.025,0.05,0.039
"P06","4",0.048,0.035,0.029,0.048,0.057
"P06","5",0.159,0.208,0.145,0.232,0.282
"P06","6",0.023,0.048,0.044,0.023,0.043
"P06","7",0.037,0.084,0.092,0.013,0.037
"P06","8",0.027,0.073,0.104,0.028,0.043
"P06","9",0.148,0.283,0.382,0.144,0.211
"P07","1",0.514,0.244,0.194,0.579,0.317
"P07","2",0.047,0.032,0.028,0.042,0.047
"P07","3",0.021,0.03,0.038,0.025,0.023
"P07","4",0.02,0.018,0.043,0.004,0.019
"P07","5",0.08,0.13,0.13,0.119,0.104
"P07","6",0.013,0.028,0.024,0.019,0.02
"P07","7",0.018,0.048,0.051,0.011,0.029
"P07","8",0.018,0.045,0.058,0.016,0.044
"P07","9",0.269,0.425,0.434,0.185,0.397
"P14","Lo votaría",0.078,0.528,0.132,0.089,0.076
"P14","Puede que lo vote",0.061,0.284,0.325,0.084,0.166
"P14","Nunca lo votaría",0.783,0.167,0.451,0.671,0.48
"P14","No sabe",0.078,0.021,0.092,0.156,0.278
"P15","Lo votaría",0.251,0.094,0.042,0.069,0.089
"P15","Puede que lo vote",0.378,0.093,0.097,0.172,0.178
"P15","Nunca lo votaría",0.275,0.769,0.814,0.671,0.45
"P15","No sabe",0.096,0.044,0.047,0.088,0.283
"P16","Lo votaría",0.295,0.049,0.023,0.065,0.096
"P16","Puede que lo vote",0.366,0.048,0.031,0.148,0.103
"P16","Nunca lo votaría",0.243,0.882,0.921,0.724,0.573
"P16","No sabe",0.096,0.021,0.025,0.063,0.228
"P17","La votaría",0.735,0.063,0.017,0.163,0.176
"P17","Puede que la vote",0.117,0.022,0.031,0.172,0.101
"P17","Nunca la votaría",0.125,0.898,0.937,0.574,0.542
"P17","No sabe",0.023,0.017,0.015,0.091,0.181
"P18","Lo votaría",0.094,0.324,0.069,0.092,0.062
"P18","Puede que lo vote",0.089,0.384,0.271,0.126,0.186
"P18","Nunca lo votaría",0.752,0.247,0.599,0.678,0.444
"P18","No sabe",0.065,0.045,0.061,0.104,0.308
"P19","Lo votaría",0.04,0.108,0.06,0.068,0.073
"P19","Puede que lo vote",0.18,0.279,0.206,0.208,0.159
"P19","Nunca lo votaría",0.631,0.533,0.619,0.572,0.416
"P19","No sabe",0.149,0.08,0.115,0.152,0.352
"P20","La votaría",0.053,0.5,0.274,0.132,0.101
"P20","Puede que la vote",0.072,0.261,0.33,0.07,0.148
"P20","Nunca la votaría",0.815,0.194,0.334,0.747,0.491
