"var","categoria","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos","Javier Milei presidente - José Luis Espert vice por los liberales","Nicolás del Caño – Myriam Bregman","Otros candidatos"
"P04","Tengo trabajo estable",0.376,0.41,0.34,0.41,0.468,0.567,0.435
"P04","Realizo changas o trabajos de vez en cuando",0.179,0.181,0.307,0.198,0.23,0.142,0.188
"P04","No tengo trabajo",0.15,0.164,0.166,0.207,0.224,0.19,0.193
"P04","Soy jubilado o pensionado",0.295,0.245,0.187,0.185,0.078,0.101,0.184
"P05","1",0.41,0.335,0.369,0.224,0.374,0.122,0.213
"P05","2",0.078,0.064,0.073,0.061,0.093,0.053,0.056
"P05","3",0.094,0.073,0.071,0.031,0.098,0.019,0.059
"P05","4",0.107,0.122,0.046,0.057,0.064,0.061,0.101
"P05","5",0.157,0.224,0.172,0.135,0.184,0.092,0.312
"P05","6",0.026,0.039,0.014,0.048,0.032,0.089,0.047
"P05","7",0.031,0.03,0.039,0.136,0.028,0.087,0.069
"P05","8",0.025,0.035,0.054,0.075,0.019,0.084,0.023
"P05","9",0.072,0.078,0.162,0.233,0.108,0.393,0.12
"P06","1",0.174,0.202,0.418,0.458,0.155,0.303,0.17
"P06","2",0.043,0.043,0.054,0.068,0.028,0.076,0.055
"P06","3",0.03,0.044,0.044,0.068,0.021,0.075,0.033
"P06","4",0.03,0.048,0.044,0.054,0.028,0.035,0.074
"P06","5",0.182,0.237,0.234,0.152,0.163,0.277,0.307
"P06","6",0.043,0.074,0.013,0.022,0.038,0.017,0.054
"P06","7",0.093,0.072,0.025,0.031,0.079,0.035,0.06
"P06","8",0.079,0.073,0.036,0.017,0.099,0.029,0.054
"P06","9",0.326,0.207,0.132,0.13,0.389,0.153,0.193
"P07","1",0.183,0.23,0.418,0.583,0.198,0.675,0.307
"P07","2",0.034,0.05,0.056,0.045,0.024,0.035,0.038
"P07","3",0.031,0.021,0.023,0.025,0.022,0.067,0.029
"P07","4",0.018,0.02,0.019,0.019,0.037,0.002,0.026
"P07","5",0.114,0.143,0.1,0.072,0.158,0.033,0.124
"P07","6",0.027,0.044,0.027,0.011,0.024,0.007,0.024
"P07","7",0.057,0.058,0.026,0.008,0.049,0.014,0.045
"P07","8",0.053,0.052,0.01,0.013,0.064,0.023,0.045
"P07","9",0.483,0.382,0.321,0.224,0.424,0.144,0.362
"P09","Del Frente de Todos y el peronismo",0.067,0.08,0.595,0.792,0.049,0.078,0.093
