"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P04","Tengo trabajo estable",0.261,0.407,0.444,0.475
"P04","Realizo changas o trabajos de vez en cuando",0.321,0.212,0.209,0.142
"P04","No tengo trabajo",0.292,0.169,0.163,0.174
"P04","Soy jubilado o pensionado",0.126,0.212,0.184,0.209
"P05","1",0.332,0.276,0.283,0.131
"P05","2",0.107,0.073,0.06,0.042
"P05","3",0.068,0.022,0.067,0.038
"P05","4",0.052,0.058,0.104,0.038
"P05","5",0.101,0.191,0.177,0.114
"P05","6",0.02,0.074,0.039,0.054
"P05","7",0.045,0.085,0.088,0.203
"P05","8",0.045,0.04,0.025,0.111
"P05","9",0.23,0.181,0.157,0.269
"P06","1",0.497,0.334,0.293,0.504
"P06","2",0.063,0.041,0.058,0.09
"P06","3",0.06,0.058,0.083,0.08
"P06","4",0.024,0.055,0.07,0.061
"P06","5",0.134,0.198,0.209,0.114
"P06","6",0.014,0.041,0.029,0.017
"P06","7",0.017,0.065,0.045,0.032
"P06","8",0.032,0.023,0.047,0.014
"P06","9",0.159,0.185,0.166,0.088
"P07","1",0.429,0.5,0.378,0.675
"P07","2",0.055,0.059,0.037,0.049
"P07","3",0.024,0.021,0.023,0.019
"P07","4",0.007,0.018,0.022,0.027
"P07","5",0.064,0.085,0.12,0.06
"P07","6",0.015,0.005,0.039,0.006
"P07","7",0.006,0.021,0.041,0.009
"P07","8",0.003,0.01,0.059,0.012
"P07","9",0.397,0.281,0.281,0.143
"P11","A Alberto Fernández",0.596,0.053,0.039,0.014
"P11","A Sergio Massa",0.05,0.541,0.069,0.013
"P11","A algún candidato del peronismo",0.045,0.07,0.552,0.035
"P11","A Cristina Fernández de Kirchner",0.309,0.336,0.34,0.938
"P14","Lo votaría",0.14,0.057,0.134,0.03
"P14","Puede que lo vote",0.072,0.107,0.1,0.009
"P14","Nunca lo votaría",0.666,0.715,0.696,0.931
"P14","No sabe",0.122,0.121,0.07,0.03
"P15","Lo votaría",0.23,0.612,0.202,0.11
"P15","Puede que lo vote",0.297,0.216,0.39,0.508
"P15","Nunca lo votaría",0.359,0.132,0.322,0.273
"P15","No sabe",0.114,0.04,0.086,0.109
"P16","Lo votaría",0.667,0.259,0.11,0.14
"P16","Puede que lo vote",0.171,0.436,0.319,0.491
"P16","Nunca lo votaría",0.084,0.228,0.441,0.276
"P16","No sabe",0.078,0.077,0.13,0.093
