"var","categoria","Sergio Massa – Wado de Pedro","Javier Milei – José Luis Espert","No sabe"
"P04","Tengo trabajo estable",0.471,0.466,0.361
"P04","Realizo changas o trabajos de vez en cuando",0.177,0.19,0.178
"P04","No tengo trabajo",0.146,0.199,0.213
"P04","Soy jubilado o pensionado",0.206,0.145,0.248
"P05","1",0.245,0.358,0.31
"P05","2",0.066,0.084,0.055
"P05","3",0.039,0.106,0.062
"P05","4",0.059,0.104,0.094
"P05","5",0.145,0.169,0.198
"P05","6",0.054,0.034,0.044
"P05","7",0.121,0.043,0.044
"P05","8",0.077,0.021,0.043
"P05","9",0.194,0.081,0.15
"P06","1",0.4,0.152,0.259
"P06","2",0.061,0.031,0.045
"P06","3",0.07,0.033,0.035
"P06","4",0.066,0.034,0.044
"P06","5",0.176,0.172,0.227
"P06","6",0.027,0.051,0.045
"P06","7",0.04,0.108,0.051
"P06","8",0.03,0.092,0.053
"P06","9",0.13,0.327,0.241
"P07","1",0.528,0.223,0.307
"P07","2",0.049,0.03,0.035
"P07","3",0.028,0.036,0.025
"P07","4",0.018,0.031,0.017
"P07","5",0.098,0.148,0.109
"P07","6",0.019,0.022,0.025
"P07","7",0.021,0.065,0.033
"P07","8",0.016,0.057,0.046
"P07","9",0.223,0.388,0.403
"P09","Del Frente de Todos y el peronismo",0.705,0.1,0.218
"P09","De Cambiemos",0.129,0.359,0.461
"P09","De los Liberales libertarios",0.045,0.418,0.07
"P09","De la Izquierda",0.035,0.017,0.044
"P09","No sabe",0.086,0.106,0.207
"P10","A Alberto Fernández",0.174,0.212,0.311
"P10","A Sergio Massa",0.219,0.222,0.077
"P10","A algún candidato del peronismo",0.128,0.284,0.269
"P10","A algún candidato del kirchnerismo",0.479,0.282,0.343
"P11","A Alberto Fernández",0.09,0.094,0.205
"P11","A Sergio Massa",0.144,0.167,0.054
"P11","A algún candidato del peronismo",0.087,0.291,0.242
"P11","A Cristina Fernández de Kirchner",0.679,0.448,0.499
"P12","A Horacio Rodriguez Larreta",0.204,0.193,0.247
"P12","A Mauricio Macri",0.347,0.36,0.37
"P12","A Patricia Bullrich",0.217,0.365,0.286
"P12","A Facundo Manes",0.171,0.063,0.048
"P12","A Gerardo Morales",0.061,0.019,0.049
"P13","Seguro lo votaria",0.164,0.244,0.142
"P13","Quizás lo votaría",0.307,0.423,0.239
"P13","Nunca lo votaría",0.529,0.333,0.619
"P14","Lo votaría",0.091,0.294,0.306
"P14","Puede que lo vote",0.079,0.309,0.192
"P14","Nunca lo votaría",0.762,0.333,0.401
"P14","No sabe",0.068,0.064,0.101
"P15","Lo votaría",0.279,0.069,0.067
"P15","Puede que lo vote",0.404,0.105,0.134
"P15","Nunca lo votaría",0.24,0.78,0.696
"P15","No sabe",0.077,0.046,0.103
"P16","Lo votaría",0.239,0.047,0.103
"P16","Puede que lo vote",0.373,0.064,0.09
"P16","Nunca lo votaría",0.316,0.861,0.739
"P16","No sabe",0.072,0.028,0.068
"P17","La votaría",0.646,0.071,0.191
"P17","Puede que la vote",0.117,0.04,0.066
"P17","Nunca la votaría",0.217,0.874,0.701
"P17","No sabe",0.02,0.015,0.042
"P18","Lo votaría",0.1,0.158,0.218
"P18","Puede que lo vote",0.115,0.316,0.268
"P18","Nunca lo votaría",0.753,0.457,0.414
"P18","No sabe",0.032,0.069,0.1
"P19","Lo votaría",0.053,0.078,0.082
"P19","Puede que lo vote",0.212,0.232,0.24
"P19","Nunca lo votaría",0.609,0.586,0.52
"P19","No sabe",0.126,0.104,0.158
"P20","La votaría",0.079,0.401,0.293
"P20","Puede que la vote",0.071,0.279,0.218
"P20","Nunca la votaría",0.804,0.273,0.394
"P20","No sabe",0.046,0.047,0.095
"P21","Lo votaría",0.072,0.432,0.1
"P21","Puede que lo vote",0.082,0.316,0.156
"P21","Nunca lo votaría",0.801,0.227,0.648
"P21","No sabe",0.045,0.025,0.096
"P22","La votaría",0.069,0.193,0.157
"P22","Puede que la vote",0.089,0.289,0.266
"P22","Nunca la votaría",0.778,0.44,0.461
"P22","No sabe",0.064,0.078,0.116
"P23","Lo votaría",0.188,0.044,0.053
"P23","Puede que lo vote",0.413,0.088,0.133
"P23","Nunca lo votaría",0.335,0.829,0.73
"P23","No sabe",0.064,0.039,0.084
"P24","Lo votaría",0.047,0.053,0.074
"P24","Puede que lo vote",0.122,0.194,0.198
"P24","Nunca lo votaría",0.729,0.646,0.581
"P24","No sabe",0.102,0.107,0.147
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.082,0.253,0.292
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.052,0.101,0.197
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.065,0.015,0.051
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.68,0.091,0.18
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.048,0.456,0.063
"P25","Nicolás del Caño – Myriam Bregman",0.029,0.012,0.029
"P25","Otros candidatos",0.044,0.072,0.188
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.738,0.094,0.208
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.106,0.311,0.404
"P29","Javier Milei – José Luis Espert por los liberales",0.061,0.506,0.081
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.04,0.014,0.041
"P29","Otro candidato",0.055,0.075,0.266
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.14,0.25,0.39
