"var","categoria","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos","Mauricio Macri – María Eugenia Vidal por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.385,0.395,0.475,0.549,0.423
"P04","Realizo changas o trabajos de vez en cuando",0.217,0.161,0.215,0.205,0.193
"P04","No tengo trabajo",0.208,0.15,0.22,0.119,0.195
"P04","Soy jubilado o pensionado",0.19,0.294,0.09,0.127,0.189
"P05","1",0.237,0.39,0.373,0.15,0.242
"P05","2",0.06,0.073,0.094,0.096,0.042
"P05","3",0.032,0.103,0.096,0.009,0.054
"P05","4",0.053,0.112,0.072,0.061,0.107
"P05","5",0.135,0.163,0.18,0.092,0.327
"P05","6",0.048,0.029,0.029,0.08,0.045
"P05","7",0.132,0.032,0.03,0.071,0.05
"P05","8",0.073,0.024,0.024,0.087,0.031
"P05","9",0.23,0.074,0.102,0.354,0.102
"P06","1",0.451,0.169,0.162,0.348,0.21
"P06","2",0.072,0.044,0.026,0.081,0.042
"P06","3",0.069,0.032,0.029,0.07,0.028
"P06","4",0.053,0.029,0.033,0.047,0.072
"P06","5",0.156,0.191,0.163,0.224,0.309
"P06","6",0.024,0.05,0.039,0.016,0.055
"P06","7",0.028,0.096,0.082,0.03,0.059
"P06","8",0.016,0.081,0.102,0.044,0.041
"P06","9",0.131,0.308,0.364,0.14,0.184
"P07","1",0.569,0.199,0.2,0.606,0.286
"P07","2",0.049,0.035,0.023,0.048,0.031
"P07","3",0.026,0.028,0.024,0.03,0.034
"P07","4",0.018,0.019,0.035,0.004,0.026
"P07","5",0.079,0.121,0.141,0.075,0.131
"P07","6",0.01,0.029,0.022,0.02,0.034
"P07","7",0.01,0.058,0.056,0.022,0.042
"P07","8",0.012,0.052,0.065,0.038,0.044
"P07","9",0.227,0.459,0.434,0.157,0.372
"P09","Del Frente de Todos y el peronismo",0.795,0.069,0.061,0.163,0.113
"P09","De Cambiemos",0.064,0.803,0.121,0.047,0.303
"P09","De los Liberales libertarios",0.013,0.043,0.67,0.062,0.088
"P09","De la Izquierda",0.016,0.007,0.015,0.553,0.039
"P09","No sabe",0.112,0.078,0.133,0.175,0.457
"P10","A Alberto Fernández",0.229,0.206,0.161,0.366,0.323
"P10","A Sergio Massa",0.187,0.11,0.269,0.146,0.167
"P10","A algún candidato del peronismo",0.119,0.58,0.403,0.305,0.398
"P10","A algún candidato del kirchnerismo",0.465,0.104,0.167,0.183,0.112
"P11","A Alberto Fernández",0.138,0.135,0.108,0.186,0.245
"P11","A Sergio Massa",0.118,0.134,0.197,0.394,0.2
"P11","A algún candidato del peronismo",0.066,0.615,0.572,0.076,0.445
"P11","A Cristina Fernández de Kirchner",0.678,0.116,0.123,0.344,0.11
"P12","A Horacio Rodriguez Larreta",0.342,0.216,0.187,0.362,0.308
"P12","A Mauricio Macri",0.188,0.43,0.265,0.204,0.129
"P12","A Patricia Bullrich",0.065,0.307,0.37,0,0.34
"P12","A Facundo Manes",0.316,0.024,0.132,0.211,0.148
"P12","A Gerardo Morales",0.089,0.023,0.046,0.223,0.075
"P13","Seguro lo votaria",0.088,0.18,0.493,0,0.149
"P13","Quizás lo votaría",0.28,0.339,0.293,0.15,0.256
"P13","Nunca lo votaría",0.632,0.481,0.214,0.85,0.595
"P14","Lo votaría",0.04,0.625,0.147,0.017,0.082
"P14","Puede que lo vote",0.046,0.254,0.335,0.093,0.232
"P14","Nunca lo votaría",0.836,0.09,0.418,0.743,0.499
"P14","No sabe",0.078,0.031,0.1,0.147,0.187
"P15","Lo votaría",0.254,0.084,0.055,0.059,0.079
"P15","Puede que lo vote",0.395,0.063,0.114,0.198,0.16
"P15","Nunca lo votaría",0.247,0.809,0.773,0.611,0.609
"P15","No sabe",0.104,0.044,0.058,0.132,0.152
"P16","Lo votaría",0.316,0.028,0.027,0.041,0.067
"P16","Puede que lo vote",0.374,0.017,0.039,0.21,0.091
"P16","Nunca lo votaría",0.205,0.94,0.903,0.641,0.724
"P16","No sabe",0.105,0.015,0.031,0.108,0.118
"P17","La votaría",0.795,0.019,0.032,0.188,0.068
"P17","Puede que la vote",0.138,0.006,0.033,0.234,0.069
"P17","Nunca la votaría",0.038,0.963,0.913,0.503,0.762
"P17","No sabe",0.029,0.012,0.022,0.075,0.101
"P18","Lo votaría",0.081,0.331,0.083,0.043,0.129
"P18","Puede que lo vote",0.077,0.416,0.253,0.133,0.258
"P18","Nunca lo votaría",0.772,0.208,0.582,0.712,0.44
"P18","No sabe",0.07,0.045,0.082,0.112,0.173
"P19","Lo votaría",0.035,0.099,0.065,0.068,0.119
"P19","Puede que lo vote",0.167,0.273,0.233,0.21,0.228
"P19","Nunca lo votaría",0.65,0.534,0.562,0.577,0.433
"P19","No sabe",0.148,0.094,0.14,0.145,0.22
"P20","La votaría",0.027,0.552,0.263,0.077,0.196
"P20","Puede que la vote",0.05,0.266,0.329,0.107,0.185
"P20","Nunca la votaría",0.864,0.129,0.334,0.794,0.465
"P20","No sabe",0.059,0.053,0.074,0.022,0.154
"P21","Lo votaría",0.028,0.124,0.7,0.06,0.063
"P21","Puede que lo vote",0.059,0.331,0.207,0.126,0.158
"P21","Nunca lo votaría",0.849,0.474,0.078,0.756,0.616
"P21","No sabe",0.064,0.071,0.015,0.058,0.163
"P22","La votaría",0.028,0.302,0.163,0.026,0.055
"P22","Puede que la vote",0.047,0.411,0.217,0.125,0.241
"P22","Nunca la votaría",0.837,0.209,0.52,0.755,0.516
"P22","No sabe",0.088,0.078,0.1,0.094,0.188
"P23","Lo votaría",0.169,0.042,0.032,0.024,0.051
"P23","Puede que lo vote",0.433,0.058,0.063,0.22,0.113
"P23","Nunca lo votaría",0.304,0.864,0.85,0.651,0.704
"P23","No sabe",0.094,0.036,0.055,0.105,0.132
"P24","Lo votaría",0.025,0.097,0.035,0.087,0.072
"P24","Puede que lo vote",0.11,0.276,0.113,0.085,0.187
"P24","Nunca lo votaría",0.73,0.544,0.723,0.709,0.516
"P24","No sabe",0.135,0.083,0.129,0.119,0.225
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.019,0.683,0.049,0.012,0.032
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.013,0.21,0.071,0.118,0.226
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.094,0.009,0.008,0.034,0.07
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.851,0.02,0.018,0.16,0.04
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.005,0.025,0.819,0.087,0.05
"P25","Nicolás del Caño – Myriam Bregman",0.004,0.004,0.008,0.515,0.008
"P25","Otros candidatos",0.014,0.049,0.027,0.074,0.574
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.102,0.655,0.054,0.086,0.22
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.603,0.089,0.015,0.07,0.076
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.026,0.114,0.903,0.045,0.043
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.037,0.006,0.005,0.723,0.012
"P31","Otro candidato",0.232,0.136,0.023,0.076,0.649
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.636,0.047,0.029,0.192,0.095
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.048,0.805,0.146,0.085,0.271
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.026,0.06,0.795,0.063,0.036
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.038,0.009,0.003,0.616,0.006
"P33","Otro candidato",0.252,0.079,0.027,0.044,0.592
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.606,0.083,0.037,0.165,0.097
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.074,0.621,0.064,0.067,0.245
"P35","Javier Milei – José Luis Espert por los liberales",0.022,0.132,0.851,0.071,0.044
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.043,0.006,0.004,0.601,0.008
"P35","Otro candidato",0.255,0.158,0.044,0.096,0.606
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.887,0.047,0.016,0.135,0.052
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.041,0.656,0.065,0.092,0.294
"P37","Javier Milei – José Luis Espert por los liberales",0.009,0.134,0.869,0.075,0.057
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.008,0.002,0.007,0.592,0.011
"P37","Otro candidato",0.055,0.161,0.043,0.106,0.586
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.7,0.023,0.026,0.137,0.082
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.029,0.875,0.063,0.009,0.138
"P38","Javier Milei – José Luis Espert por los liberales",0.017,0.049,0.861,0.079,0.048
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.036,0.002,0.018,0.651,0.019
"P38","Otro candidato",0.218,0.051,0.032,0.124,0.713
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.902,0.056,0.048,0.356,0.078
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.045,0.899,0.41,0.131,0.249
"P39","No sabe",0.053,0.045,0.542,0.513,0.673
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.741,0.031,0.027,0.282,0.085
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.023,0.789,0.415,0.157,0.36
"P40","No sabe",0.236,0.18,0.558,0.561,0.555
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.728,0.023,0.043,0.373,0.103
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.019,0.871,0.533,0.139,0.355
