"var","categoria","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos","Javier Milei presidente – José Luis Espert por los liberales","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.382,0.402,0.46,0.571,0.407
"P04","Realizo changas o trabajos de vez en cuando",0.181,0.202,0.219,0.179,0.189
"P04","No tengo trabajo",0.158,0.206,0.222,0.136,0.184
"P04","Soy jubilado o pensionado",0.279,0.19,0.099,0.114,0.22
"P05","1",0.365,0.26,0.379,0.172,0.234
"P05","2",0.082,0.062,0.079,0.073,0.048
"P05","3",0.079,0.043,0.104,0.025,0.051
"P05","4",0.108,0.063,0.068,0.072,0.09
"P05","5",0.183,0.126,0.187,0.082,0.25
"P05","6",0.03,0.048,0.031,0.072,0.048
"P05","7",0.044,0.114,0.031,0.084,0.081
"P05","8",0.026,0.069,0.018,0.109,0.049
"P05","9",0.083,0.215,0.103,0.311,0.149
"P06","1",0.191,0.453,0.159,0.419,0.263
"P06","2",0.053,0.063,0.022,0.079,0.058
"P06","3",0.041,0.06,0.025,0.095,0.042
"P06","4",0.037,0.052,0.029,0.086,0.054
"P06","5",0.211,0.17,0.16,0.17,0.238
"P06","6",0.053,0.021,0.037,0.015,0.05
"P06","7",0.083,0.026,0.094,0.015,0.056
"P06","8",0.065,0.023,0.098,0.036,0.045
"P06","9",0.266,0.132,0.376,0.085,0.194
"P07","1",0.263,0.508,0.191,0.687,0.385
"P07","2",0.041,0.047,0.024,0.072,0.031
"P07","3",0.031,0.027,0.025,0.039,0.026
"P07","4",0.018,0.021,0.032,0.007,0.024
"P07","5",0.122,0.086,0.141,0.059,0.108
"P07","6",0.032,0.01,0.025,0.022,0.019
"P07","7",0.051,0.014,0.059,0.008,0.03
"P07","8",0.047,0.019,0.062,0.031,0.035
"P07","9",0.395,0.268,0.441,0.075,0.342
"P09","Del Frente de Todos y el peronismo",0.136,0.763,0.068,0.323,0.315
"P09","De Cambiemos",0.698,0.129,0.172,0.043,0.261
"P09","De los Liberales libertarios",0.046,0.018,0.608,0.052,0.056
"P09","De la Izquierda",0.015,0.003,0.023,0.455,0.026
"P09","No sabe",0.105,0.087,0.129,0.127,0.342
"P10","A Alberto Fernández",0.317,0.289,0.23,0.052,0.074
"P10","A Sergio Massa",0.235,0.194,0.229,0.173,0.131
"P10","A algún candidato del peronismo",0.266,0.113,0.369,0.223,0.233
"P10","A algún candidato del kirchnerismo",0.182,0.404,0.172,0.552,0.562
"P11","A Alberto Fernández",0.185,0.192,0.168,0,0.018
"P11","A Sergio Massa",0.163,0.127,0.202,0.205,0.095
"P11","A algún candidato del peronismo",0.264,0.075,0.501,0.083,0.167
"P11","A Cristina Fernández de Kirchner",0.388,0.606,0.129,0.712,0.72
"P12","A Horacio Rodriguez Larreta",0.307,0.267,0.108,0,0.096
"P12","A Mauricio Macri",0.343,0.334,0.347,0.289,0.402
"P12","A Patricia Bullrich",0.261,0.164,0.483,0.096,0.366
"P12","A Facundo Manes",0.046,0.171,0.042,0.505,0.113
"P12","A Gerardo Morales",0.043,0.064,0.02,0.11,0.023
"P13","Seguro lo votaria",0.172,0.132,0.385,0.343,0.161
"P13","Quizás lo votaría",0.304,0.314,0.437,0.058,0.273
"P13","Nunca lo votaría",0.524,0.554,0.178,0.599,0.566
"P14","Lo votaría",0.457,0.086,0.202,0.048,0.164
"P14","Puede que lo vote",0.272,0.054,0.317,0.042,0.156
"P14","Nunca lo votaría",0.207,0.791,0.388,0.809,0.552
"P14","No sabe",0.064,0.069,0.093,0.101,0.128
"P15","Lo votaría",0.106,0.268,0.059,0.116,0.095
"P15","Puede que lo vote",0.107,0.371,0.111,0.233,0.229
"P15","Nunca lo votaría",0.729,0.268,0.774,0.533,0.543
"P15","No sabe",0.058,0.093,0.056,0.118,0.133
"P16","Lo votaría",0.062,0.392,0.024,0.071,0.037
"P16","Puede que lo vote",0.062,0.369,0.044,0.221,0.157
"P16","Nunca lo votaría",0.85,0.167,0.901,0.599,0.672
"P16","No sabe",0.026,0.072,0.031,0.109,0.134
"P17","La votaría",0.087,0.715,0.043,0.399,0.309
"P17","Puede que la vote",0.04,0.128,0.038,0.163,0.071
