"var","categoria","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos","Javier Milei presidente – José Luis Espert vice por los liberales","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.514,0.435,0.482,0.569,0.421
"P04","Realizo changas o trabajos de vez en cuando",0.183,0.167,0.226,0.158,0.216
"P04","No tengo trabajo",0.092,0.185,0.231,0.17,0.201
"P04","Soy jubilado o pensionado",0.211,0.213,0.061,0.103,0.162
"P05","Derecha",0.13,0.248,0.4,0.094,0.166
"P05","Centro derecha",0.065,0.289,0.165,0.02,0.113
"P05","Centro izquierda",0.4,0.086,0.055,0.293,0.22
"P05","Izquierda",0.149,0.04,0.043,0.363,0.093
"P05","No sabe",0.256,0.337,0.337,0.23,0.408
"P06","Alta",0.582,0.239,0.274,0.605,0.377
"P06","Media",0.257,0.285,0.255,0.276,0.378
"P06","Baja",0.161,0.476,0.471,0.119,0.245
"P07","Estoy de acuerdo",0.631,0.28,0.221,0.742,0.392
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.212,0.48,0.517,0.136,0.367
"P07","No estoy de acuerdo",0.098,0.182,0.201,0.023,0.159
"P07","No sabe",0.059,0.058,0.061,0.099,0.082
"P08","Del Frente de Todos y el peronismo",0.758,0.065,0.061,0.298,0.336
"P08","De Cambiemos",0.097,0.709,0.136,0.059,0.198
"P08","De los Liberales libertarios",0.021,0.092,0.653,0.05,0.081
"P08","De la Izquierda",0.034,0.011,0.024,0.402,0.039
"P08","No sabe",0.09,0.123,0.126,0.191,0.346
"P10","A Alberto Fernández",0.133,0.173,0.098,0.336,0.178
"P10","A Sergio Massa",0.163,0.182,0.217,0.094,0.077
"P10","A algún candidato del peronismo",0.135,0.534,0.543,0.144,0.277
"P10","A algún candidato del kirchnerismo",0.569,0.111,0.142,0.426,0.468
"P11","A Alberto Fernández",0.085,0.056,0.094,0.289,0.137
"P11","A Sergio Massa",0.088,0.132,0.23,0.026,0.015
"P11","A algún candidato del peronismo",0.085,0.508,0.578,0.128,0.292
"P11","A Cristina Fernández de Kirchner",0.742,0.304,0.098,0.557,0.556
"P12","A Horacio Rodriguez Larreta",0.346,0.191,0.231,0.079,0.298
"P12","A Mauricio Macri",0.277,0.373,0.52,0.022,0.265
"P12","A Patricia Bullrich",0.118,0.319,0.16,0.375,0.115
"P12","A Facundo Manes",0.113,0.062,0.053,0.065,0.192
"P12","A Gerardo Morales",0.146,0.055,0.036,0.459,0.13
"P13","Seguro lo votaria",0.15,0.185,0.51,0.079,0.165
"P13","Quizás lo votaría",0.248,0.279,0.299,0,0.251
"P13","Nunca lo votaría",0.602,0.536,0.191,0.921,0.584
"P14","Lo votaría",0.063,0.456,0.154,0.038,0.1
"P14","Puede que lo vote",0.038,0.298,0.341,0.047,0.115
"P14","Nunca lo votaría",0.875,0.186,0.437,0.869,0.665
"P14","No sabe",0.024,0.06,0.068,0.046,0.12
"P15","Lo votaría",0.219,0.048,0.043,0.046,0.066
"P15","Puede que lo vote",0.494,0.067,0.087,0.194,0.163
"P15","Nunca lo votaría",0.207,0.851,0.794,0.603,0.608
"P15","No sabe",0.08,0.034,0.076,0.157,0.163
"P16","Lo votaría",0.236,0.049,0.041,0.138,0.108
"P16","Puede que lo vote",0.404,0.038,0.061,0.202,0.2
"P16","Nunca lo votaría",0.241,0.873,0.854,0.532,0.555
"P16","No sabe",0.119,0.04,0.044,0.128,0.137
"P17","La votaría",0.673,0.056,0.049,0.325,0.272
"P17","Puede que la vote",0.11,0.027,0.05,0.168,0.098
"P17","Nunca la votaría",0.185,0.898,0.878,0.372,0.529
"P17","No sabe",0.032,0.019,0.023,0.135,0.101
"P18","Lo votaría",0.091,0.348,0.13,0.035,0.094
"P18","Puede que lo vote",0.077,0.388,0.245,0.039,0.202
"P18","Nunca lo votaría",0.793,0.207,0.544,0.809,0.542
"P18","No sabe",0.039,0.057,0.081,0.117,0.162
"P19","Lo votaría",0.06,0.162,0.087,0.016,0.089
"P19","Puede que lo vote",0.137,0.32,0.203,0.084,0.158
"P19","Nunca lo votaría",0.684,0.417,0.584,0.691,0.493
"P19","No sabe",0.119,0.101,0.126,0.209,0.26
"P20","La votaría",0.067,0.541,0.245,0.026,0.092
"P20","Puede que la vote",0.042,0.275,0.32,0.03,0.131
"P20","Nunca la votaría",0.862,0.139,0.364,0.886,0.63
"P20","No sabe",0.029,0.045,0.071,0.058,0.147
"P21","Lo votaría",0.043,0.1,0.633,0.028,0.054
"P21","Puede que lo vote",0.045,0.24,0.208,0.051,0.126
"P21","Nunca lo votaría",0.857,0.575,0.128,0.822,0.644
"P21","No sabe",0.055,0.085,0.031,0.099,0.176
"P22","La votaría",0.058,0.296,0.12,0.011,0.076
"P22","Puede que la vote",0.071,0.376,0.241,0.029,0.149
"P22","Nunca la votaría",0.804,0.247,0.552,0.866,0.596
"P22","No sabe",0.067,0.081,0.087,0.094,0.179
"P23","Lo votaría",0.229,0.048,0.045,0.025,0.09
"P23","Puede que lo vote",0.406,0.046,0.053,0.226,0.177
"P23","Nunca lo votaría",0.26,0.868,0.854,0.546,0.548
"P23","No sabe",0.105,0.038,0.048,0.203,0.185
"P24","Lo votaría",0.042,0.101,0.031,0.035,0.049
"P24","Puede que lo vote",0.095,0.253,0.147,0.05,0.129
"P24","Nunca lo votaría",0.744,0.509,0.679,0.748,0.537
"P24","No sabe",0.119,0.137,0.143,0.167,0.285
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.054,0.499,0.091,0.072,0.127
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.054,0.252,0.05,0.03,0.115
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.105,0.014,0.013,0.123,0.08
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.717,0.041,0.028,0.346,0.275
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.018,0.05,0.777,0.032,0.028
"P25","Otros candidatos",0.052,0.144,0.041,0.397,0.375
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.772,0.071,0.033,0.226,0.299
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.08,0.666,0.088,0.091,0.126
"P29","Javier Milei – José Luis Espert por los liberales",0.055,0.093,0.672,0.03,0.064
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.043,0.037,0.024,0.598,0.054
"P29","Otro candidato",0.05,0.133,0.183,0.055,0.457
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.15,0.594,0.045,0.027,0.142
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.611,0.066,0.019,0.086,0.17
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.021,0.114,0.896,0.049,0.013
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.037,0.009,0.004,0.82,0.019
"P31","Otro candidato",0.181,0.217,0.036,0.018,0.656
"P35","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.799,0.087,0.044,0.518,0.357
"P35","Mauricio Macri presidente – María Eugenia Vidal vice",0.129,0.789,0.477,0.084,0.208
"P35","No sabe",0.072,0.124,0.479,0.398,0.435
"P36","Alberto Fernández presidente – Daniel Scioli vice",0.726,0.048,0.046,0.403,0.271
"P36","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.109,0.722,0.381,0.093,0.241
"P36","No sabe",0.165,0.23,0.573,0.504,0.488
"P37","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.818,0.043,0.026,0.43,0.189
"P37","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.081,0.87,0.512,0.085,0.158
"P37","No sabe",0.101,0.087,0.462,0.485,0.653
"P38","Muy buena",0.149,0.025,0.005,0.074,0.06
"P38","Buena",0.336,0.088,0.111,0.16,0.146
"P38","Ni buena ni mala",0.312,0.046,0.098,0.35,0.283
"P38","Mala",0.117,0.087,0.124,0.229,0.152
"P38","Muy mala",0.079,0.749,0.654,0.187,0.335
"P38","No sabe",0.007,0.005,0.008,0,0.024
"P39","Muy buena",0.123,0.012,0.005,0.049,0.048
"P39","Buena",0.311,0.025,0.031,0.175,0.14
"P39","Ni buena ni mala",0.338,0.051,0.056,0.339,0.239
"P39","Mala",0.115,0.097,0.121,0.204,0.169
"P39","Muy mala",0.109,0.814,0.783,0.214,0.368
"P39","No sabe",0.004,0.001,0.004,0.019,0.036
"P40","Muy buena",0.584,0.019,0.026,0.261,0.227
"P40","Buena",0.173,0.012,0.018,0.17,0.093
"P40","Ni buena ni mala",0.088,0.026,0.041,0.168,0.114
"P40","Mala",0.048,0.056,0.062,0.099,0.117
"P40","Muy mala",0.104,0.883,0.846,0.257,0.42
"P40","No sabe",0.003,0.004,0.007,0.045,0.029
"P41","Muy buena",0.069,0.297,0.072,0.062,0.103
"P41","Buena",0.041,0.296,0.196,0.029,0.066
"P41","Ni buena ni mala",0.059,0.199,0.279,0.129,0.166
"P41","Mala",0.194,0.087,0.236,0.102,0.199
"P41","Muy mala",0.632,0.116,0.209,0.653,0.431
"P41","No sabe",0.005,0.005,0.008,0.025,0.035
"P42","Muy buena",0.049,0.285,0.079,0.033,0.1
"P42","Buena",0.068,0.402,0.178,0.027,0.13
"P42","Ni buena ni mala",0.143,0.208,0.273,0.159,0.257
"P42","Mala",0.209,0.047,0.158,0.158,0.179
"P42","Muy mala",0.52,0.045,0.282,0.573,0.277
"P42","No sabe",0.011,0.013,0.03,0.05,0.057
"P43","Muy buena",0.171,0.025,0.013,0.031,0.034
"P43","Buena",0.363,0.06,0.029,0.067,0.107
"P43","Ni buena ni mala",0.317,0.076,0.179,0.389,0.307
"P43","Mala",0.076,0.158,0.188,0.151,0.164
"P43","Muy mala",0.066,0.673,0.572,0.314,0.322
"P43","No sabe",0.007,0.008,0.019,0.048,0.066
"P44","Muy buena",0.033,0.04,0.413,0.005,0.023
"P44","Buena",0.059,0.144,0.292,0.046,0.052
"P44","Ni buena ni mala",0.105,0.339,0.152,0.114,0.244
"P44","Mala",0.16,0.204,0.054,0.075,0.177
"P44","Muy mala",0.623,0.245,0.079,0.735,0.42
"P44","No sabe",0.02,0.028,0.01,0.025,0.084
"P45","Muy buena",0.022,0.362,0.133,0.014,0.074
"P45","Buena",0.049,0.352,0.219,0.021,0.101
"P45","Ni buena ni mala",0.082,0.189,0.275,0.127,0.246
"P45","Mala",0.175,0.042,0.139,0.134,0.136
"P45","Muy mala",0.667,0.044,0.221,0.656,0.389
"P45","No sabe",0.005,0.011,0.013,0.048,0.054
"P46","Muy buena",0.135,0.055,0.021,0.031,0.073
"P46","Buena",0.388,0.052,0.061,0.155,0.157
"P46","Ni buena ni mala",0.273,0.098,0.148,0.347,0.259
"P46","Mala",0.085,0.133,0.178,0.146,0.147
"P46","Muy mala",0.11,0.65,0.577,0.282,0.302
"P46","No sabe",0.009,0.012,0.015,0.039,0.062
"P47","Muy buena",0.034,0.073,0.022,0.016,0.049
"P47","Buena",0.071,0.19,0.069,0.018,0.073
"P47","Ni buena ni mala",0.211,0.398,0.273,0.256,0.29
"P47","Mala",0.184,0.114,0.162,0.187,0.14
"P47","Muy mala",0.442,0.159,0.33,0.454,0.296
"P47","No sabe",0.058,0.066,0.144,0.069,0.152
