"var","categoria","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos","Javier Milei presidente - José Luis Espert vice por los liberales","Otros candidatos"
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.057,0.08,0.473,0.86,0.016,0.064
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.78,0.494,0.119,0.033,0.038,0.11
"P29","Javier Milei – José Luis Espert por los liberales",0.081,0.122,0.071,0.047,0.715,0.055
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.066,0.06,0.094,0.047,0.007,0.115
"P29","Otro candidato",0.016,0.244,0.243,0.013,0.224,0.656
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.498,0.857,0.041,0.069,0.022,0.117
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.045,0.026,0.763,0.548,0.016,0.055
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.142,0.04,0.061,0.016,0.897,0.069
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.019,0.01,0.042,0.064,0.01,0.109
"P31","Otro candidato",0.296,0.067,0.093,0.303,0.055,0.65
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.061,0.104,0.46,0.648,0.027,0.075
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.712,0.605,0.077,0.046,0.093,0.264
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.075,0.069,0.042,0.019,0.833,0.044
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.011,0.008,0.077,0.044,0.007,0.082
"P33","Otro candidato",0.141,0.214,0.344,0.243,0.04,0.535
"P35","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.054,0.054,0.658,0.927,0.03,0.122
"P35","Mauricio Macri presidente – María Eugenia Vidal vice",0.891,0.643,0.064,0.042,0.478,0.259
"P35","No sabe",0.055,0.303,0.278,0.031,0.492,0.619
"P36","Alberto Fernández presidente – Daniel Scioli vice",0.018,0.017,0.826,0.756,0.025,0.099
"P36","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.717,0.862,0.039,0.018,0.369,0.275
"P36","No sabe",0.265,0.121,0.135,0.226,0.606,0.626
"P37","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.018,0.036,0.552,0.784,0.023,0.13
"P37","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.84,0.688,0.052,0.009,0.529,0.348
"P37","No sabe",0.142,0.276,0.396,0.207,0.448,0.522
"P38","Muy buena",0.011,0.011,0.243,0.149,0.002,0.023
"P38","Buena",0.12,0.125,0.316,0.322,0.079,0.055
"P38","Ni buena ni mala",0.062,0.113,0.298,0.354,0.076,0.203
"P38","Mala",0.097,0.121,0.061,0.126,0.119,0.168
"P38","Muy mala",0.703,0.628,0.079,0.038,0.713,0.529
"P38","No sabe",0.007,0.002,0.003,0.011,0.011,0.022
"P39","Muy buena",0.012,0.004,0.293,0.093,0.001,0.019
"P39","Buena",0.003,0.022,0.377,0.353,0.014,0.034
"P39","Ni buena ni mala",0.08,0.068,0.207,0.368,0.043,0.192
"P39","Mala",0.1,0.163,0.044,0.13,0.101,0.179
"P39","Muy mala",0.796,0.741,0.058,0.052,0.828,0.548
"P39","No sabe",0.009,0.002,0.021,0.004,0.013,0.028
"P40","Muy buena",0.013,0.004,0.324,0.686,0.008,0.041
"P40","Buena",0.003,0.02,0.254,0.183,0.019,0.042
"P40","Ni buena ni mala",0.061,0.016,0.165,0.081,0.023,0.116
"P40","Mala",0.062,0.099,0.103,0.027,0.056,0.14
"P40","Muy mala",0.856,0.846,0.136,0.02,0.885,0.631
"P40","No sabe",0.005,0.015,0.018,0.003,0.009,0.03
"P41","Muy buena",0.444,0.088,0.028,0.072,0.056,0.058
"P41","Buena",0.28,0.273,0.059,0.01,0.199,0.112
"P41","Ni buena ni mala",0.14,0.282,0.158,0.047,0.269,0.224
"P41","Mala",0.042,0.187,0.267,0.183,0.222,0.201
"P41","Muy mala",0.088,0.169,0.481,0.679,0.239,0.367
"P41","No sabe",0.006,0.001,0.007,0.009,0.015,0.038
"P42","Muy buena",0.302,0.394,0.049,0.008,0.065,0.041
"P42","Buena",0.38,0.387,0.105,0.021,0.173,0.197
"P42","Ni buena ni mala",0.225,0.165,0.246,0.137,0.266,0.299
"P42","Mala",0.048,0.025,0.181,0.224,0.156,0.188
"P42","Muy mala",0.026,0.026,0.371,0.591,0.306,0.219
"P42","No sabe",0.019,0.003,0.048,0.019,0.034,0.056
"P43","Muy buena",0.038,0.036,0.151,0.12,0.016,0.03
"P43","Buena",0.065,0.042,0.246,0.33,0.04,0.067
"P43","Ni buena ni mala",0.092,0.164,0.333,0.384,0.14,0.192
"P43","Mala",0.16,0.237,0.088,0.081,0.164,0.156
"P43","Muy mala",0.625,0.516,0.134,0.07,0.616,0.499
"P43","No sabe",0.02,0.005,0.048,0.015,0.024,0.056
"P44","Muy buena",0.035,0.021,0.072,0.033,0.431,0.028
"P44","Buena",0.158,0.104,0.036,0.049,0.296,0.075
"P44","Ni buena ni mala",0.337,0.314,0.245,0.097,0.124,0.275
"P44","Mala",0.195,0.253,0.186,0.12,0.042,0.194
"P44","Muy mala",0.234,0.295,0.373,0.671,0.094,0.367
"P44","No sabe",0.041,0.013,0.088,0.03,0.013,0.061
"P45","Muy buena",0.404,0.246,0.009,0.008,0.143,0.081
"P45","Buena",0.318,0.35,0.058,0.007,0.213,0.185
"P45","Ni buena ni mala",0.201,0.252,0.237,0.064,0.26,0.244
"P45","Mala",0.035,0.086,0.222,0.146,0.128,0.156
"P45","Muy mala",0.031,0.061,0.422,0.759,0.241,0.283
"P45","No sabe",0.011,0.005,0.052,0.016,0.015,0.051
"P46","Muy buena",0.064,0.036,0.259,0.109,0.027,0.035
"P46","Buena",0.051,0.077,0.304,0.393,0.056,0.066
"P46","Ni buena ni mala",0.106,0.168,0.218,0.333,0.107,0.191
"P46","Mala",0.16,0.182,0.077,0.054,0.18,0.159
"P46","Muy mala",0.601,0.517,0.109,0.097,0.607,0.498
"P46","No sabe",0.018,0.02,0.033,0.014,0.023,0.051
"P47","Muy buena",0.067,0.13,0.072,0.015,0.021,0.027
"P47","Buena",0.155,0.233,0.071,0.055,0.072,0.073
"P47","Ni buena ni mala",0.383,0.386,0.34,0.186,0.233,0.368
"P47","Mala",0.14,0.082,0.146,0.18,0.17,0.139
"P47","Muy mala",0.182,0.087,0.234,0.49,0.346,0.286
"P47","No sabe",0.073,0.082,0.137,0.074,0.158,0.107
