"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P04","Tengo trabajo estable",0.361,0.588,0.494,0.512
"P04","Realizo changas o trabajos de vez en cuando",0.301,0.15,0.218,0.17
"P04","No tengo trabajo",0.224,0.084,0.148,0.115
"P04","Soy jubilado o pensionado",0.114,0.178,0.14,0.203
"P05","Derecha",0.289,0.311,0.206,0.061
"P05","Centro derecha",0.063,0.044,0.149,0.03
"P05","Centro izquierda",0.16,0.242,0.283,0.525
"P05","Izquierda",0.091,0.099,0.117,0.194
"P05","No sabe",0.397,0.304,0.245,0.19
"P06","Alta",0.555,0.612,0.442,0.642
"P06","Media",0.26,0.225,0.318,0.219
"P06","Baja",0.185,0.163,0.24,0.139
"P07","Estoy de acuerdo",0.452,0.605,0.456,0.757
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.352,0.266,0.457,0.143
"P07","No estoy de acuerdo",0.156,0.098,0.067,0.067
"P07","No sabe",0.04,0.031,0.02,0.033
"P11","A Alberto Fernández",0.539,0.057,0.062,0.011
"P11","A Sergio Massa",0.07,0.459,0.026,0.007
"P11","A algún candidato del peronismo",0.041,0.112,0.669,0.029
"P11","A Cristina Fernández de Kirchner",0.35,0.372,0.243,0.953
"P14","Lo votaría",0.044,0.105,0.116,0.016
"P14","Puede que lo vote",0.03,0.042,0.12,0.033
"P14","Nunca lo votaría",0.841,0.801,0.717,0.931
"P14","No sabe",0.085,0.052,0.047,0.02
"P15","Lo votaría",0.196,0.544,0.131,0.106
"P15","Puede que lo vote",0.308,0.283,0.38,0.547
"P15","Nunca lo votaría",0.347,0.155,0.402,0.25
"P15","No sabe",0.149,0.018,0.087,0.097
"P16","Lo votaría",0.652,0.264,0.121,0.17
"P16","Puede que lo vote",0.184,0.262,0.342,0.5
"P16","Nunca lo votaría",0.091,0.33,0.422,0.206
"P16","No sabe",0.073,0.144,0.115,0.124
"P17","La votaría",0.624,0.521,0.435,0.872
"P17","Puede que la vote",0.143,0.195,0.194,0.062
