"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.134,0.228,0.187,0.2
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.006,0.026,0.061,0.064
"P33","Otro candidato",0.155,0.278,0.252,0.486
"P35","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.073,0.23,0.6,0.197
"P35","Mauricio Macri presidente – María Eugenia Vidal vice",0.753,0.422,0.148,0.138
"P35","No sabe",0.174,0.348,0.252,0.665
"P36","Alberto Fernández presidente – Daniel Scioli vice",0.046,0.187,0.526,0.223
"P36","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.794,0.351,0.078,0.124
"P36","No sabe",0.16,0.462,0.396,0.653
"P37","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.041,0.18,0.528,0.138
"P37","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.792,0.415,0.138,0.144
"P37","No sabe",0.167,0.405,0.334,0.718
"P38","Positiva",0.147,0.155,0.348,0.164
"P38","Neutra",0.07,0.205,0.258,0.303
"P38","Negativa",0.777,0.625,0.39,0.389
"P38","No sabe",0.006,0.015,0.004,0.144
"P39","Positiva",0.04,0.152,0.298,0.188
"P39","Neutra",0.063,0.194,0.256,0.229
"P39","Negativa",0.894,0.645,0.441,0.356
"P39","No sabe",0.003,0.009,0.005,0.227
"P40","Positiva",0.05,0.202,0.546,0.185
"P40","Neutra",0.031,0.117,0.068,0.207
"P40","Negativa",0.917,0.67,0.381,0.39
"P40","No sabe",0.002,0.011,0.005,0.218
"P41","Positiva",0.614,0.215,0.103,0.091
"P41","Neutra",0.17,0.365,0.06,0.224
"P41","Negativa",0.215,0.419,0.834,0.273
"P41","No sabe",0.001,0.001,0.003,0.412
"P43","Positiva",0.149,0.154,0.278,0.084
"P43","Neutra",0.078,0.326,0.286,0.088
"P43","Negativa",0.765,0.512,0.427,0.228
"P43","No sabe",0.008,0.008,0.009,0.6
"P44","Positiva",0.241,0.263,0.194,0.177
"P44","Neutra",0.294,0.348,0.097,0.1
"P44","Negativa",0.445,0.358,0.69,0.196
"P44","No sabe",0.02,0.031,0.019,0.527
"P45","Positiva",0.713,0.334,0.057,0.168
"P45","Neutra",0.178,0.399,0.089,0.21
"P45","Negativa",0.1,0.246,0.849,0.204
"P45","No sabe",0.009,0.021,0.005,0.418
"P46","Positiva",0.135,0.2,0.34,0.183
"P46","Neutra",0.107,0.264,0.229,0.247
"P46","Negativa",0.744,0.526,0.415,0.182
"P46","No sabe",0.014,0.01,0.016,0.388
"P47","Positiva",0.296,0.129,0.054,0.056
"P47","Neutra",0.386,0.483,0.142,0.217
"P47","Negativa",0.245,0.284,0.723,0.107
"P47","No sabe",0.073,0.104,0.081,0.62
