"var","categoria","La votaría","Puede que la vote","Nunca la votaría","No sabe"
"P33","Otro candidato",0.126,0.167,0.262,0.416
"P35","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.138,0.086,0.497,0.258
"P35","Mauricio Macri presidente – María Eugenia Vidal vice",0.751,0.679,0.238,0.273
"P35","No sabe",0.111,0.235,0.265,0.469
"P36","Alberto Fernández presidente – Daniel Scioli vice",0.085,0.076,0.425,0.202
"P36","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.713,0.64,0.197,0.29
"P36","No sabe",0.202,0.284,0.378,0.508
"P37","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.093,0.072,0.424,0.204
"P37","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.78,0.698,0.236,0.268
"P37","No sabe",0.127,0.23,0.34,0.528
"P38","Muy buena",0.041,0.013,0.085,0.071
"P38","Buena",0.175,0.092,0.214,0.085
"P38","Ni buena ni mala",0.064,0.088,0.245,0.269
"P38","Mala",0.078,0.1,0.132,0.174
"P38","Muy mala",0.641,0.705,0.318,0.335
"P38","No sabe",0.001,0.002,0.006,0.066
"P39","Muy buena",0.028,0.012,0.069,0.042
"P39","Buena",0.064,0.036,0.186,0.112
"P39","Ni buena ni mala",0.066,0.084,0.227,0.267
"P39","Mala",0.126,0.08,0.13,0.205
"P39","Muy mala",0.716,0.787,0.383,0.291
"P39","No sabe",0,0.001,0.005,0.083
"P40","Muy buena",0.09,0.037,0.329,0.185
"P40","Buena",0.024,0.033,0.106,0.095
"P40","Ni buena ni mala",0.019,0.031,0.087,0.131
"P40","Mala",0.06,0.053,0.072,0.118
"P40","Muy mala",0.806,0.836,0.4,0.41
"P40","No sabe",0.001,0.01,0.006,0.061
"P41","Muy buena",0.317,0.19,0.092,0.102
"P41","Buena",0.279,0.254,0.089,0.09
"P41","Ni buena ni mala",0.152,0.268,0.117,0.258
"P41","Mala",0.11,0.112,0.192,0.233
"P41","Muy mala",0.141,0.165,0.504,0.242
"P41","No sabe",0.001,0.011,0.006,0.075
"P42","Muy buena",0.415,0.157,0.06,0.108
"P42","Buena",0.333,0.383,0.109,0.135
"P42","Ni buena ni mala",0.135,0.306,0.17,0.362
"P42","Mala",0.045,0.072,0.194,0.151
"P42","Muy mala",0.07,0.062,0.444,0.143
"P42","No sabe",0.002,0.02,0.023,0.101
"P43","Muy buena",0.043,0.021,0.08,0.076
"P43","Buena",0.069,0.064,0.194,0.126
"P43","Ni buena ni mala",0.138,0.133,0.264,0.278
"P43","Mala",0.136,0.178,0.131,0.154
"P43","Muy mala",0.612,0.592,0.313,0.243
"P43","No sabe",0.002,0.012,0.018,0.123
"P44","Muy buena",0.085,0.099,0.107,0.082
"P44","Buena",0.149,0.155,0.108,0.113
