"var","categoria","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos","Mauricio Macri – María Eugenia Vidal por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.465,0.427,0.478,0.542,0.468
"P04","Realizo changas o trabajos de vez en cuando",0.197,0.166,0.202,0.215,0.216
"P04","No tengo trabajo",0.145,0.18,0.229,0.15,0.175
"P04","Soy jubilado o pensionado",0.193,0.227,0.091,0.093,0.141
"P05","Derecha",0.12,0.265,0.331,0.208,0.207
"P05","Centro derecha",0.055,0.281,0.152,0.086,0.17
"P05","Centro izquierda",0.378,0.083,0.082,0.244,0.147
"P05","Izquierda",0.158,0.051,0.053,0.213,0.043
"P05","No sabe",0.289,0.32,0.382,0.249,0.433
"P06","Alta",0.555,0.281,0.248,0.522,0.308
"P06","Media",0.258,0.284,0.272,0.308,0.392
"P06","Baja",0.187,0.435,0.48,0.17,0.3
"P07","Estoy de acuerdo",0.614,0.253,0.263,0.57,0.329
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.247,0.488,0.501,0.193,0.397
"P07","No estoy de acuerdo",0.089,0.197,0.183,0.085,0.194
"P07","No sabe",0.05,0.062,0.053,0.152,0.08
"P08","Del Frente de Todos y el peronismo",0.767,0.067,0.103,0.221,0.15
"P08","De Cambiemos",0.063,0.756,0.147,0.244,0.234
"P08","De los Liberales libertarios",0.027,0.061,0.598,0.037,0.177
"P08","De la Izquierda",0.023,0.015,0.018,0.297,0.037
"P08","No sabe",0.12,0.101,0.134,0.201,0.402
"P10","A Alberto Fernández",0.132,0.259,0.204,0.337,0.147
"P10","A Sergio Massa",0.126,0.145,0.356,0.21,0.11
"P10","A algún candidato del peronismo",0.141,0.452,0.092,0.196,0.658
"P10","A algún candidato del kirchnerismo",0.601,0.144,0.348,0.257,0.085
"P11","A Alberto Fernández",0.077,0.203,0.109,0.205,0.153
"P11","A Sergio Massa",0.077,0.022,0.182,0.084,0.077
"P11","A algún candidato del peronismo",0.086,0.473,0.189,0.196,0.7
"P11","A Cristina Fernández de Kirchner",0.76,0.302,0.52,0.515,0.07
"P12","A Horacio Rodriguez Larreta",0.228,0.21,0.289,0.239,0.264
"P12","A Mauricio Macri",0.25,0.431,0.268,0.499,0.068
"P12","A Patricia Bullrich",0.221,0.265,0.288,0.109,0.284
"P12","A Facundo Manes",0.161,0.047,0.075,0.095,0.209
"P12","A Gerardo Morales",0.14,0.047,0.08,0.058,0.175
"P13","Seguro lo votaria",0.049,0.194,0.454,0.397,0.143
"P13","Quizás lo votaría",0.364,0.269,0.303,0.322,0.208
"P13","Nunca lo votaría",0.587,0.537,0.243,0.281,0.649
"P14","Lo votaría",0.043,0.546,0.125,0.173,0.07
"P14","Puede que lo vote",0.055,0.255,0.358,0.101,0.173
"P14","Nunca lo votaría",0.873,0.159,0.452,0.605,0.601
"P14","No sabe",0.029,0.04,0.065,0.121,0.156
"P15","Lo votaría",0.182,0.033,0.074,0.094,0.057
"P15","Puede que lo vote",0.429,0.066,0.103,0.205,0.121
"P15","Nunca lo votaría",0.271,0.857,0.75,0.602,0.673
"P15","No sabe",0.118,0.044,0.073,0.099,0.149
"P16","Lo votaría",0.236,0.041,0.066,0.131,0.054
"P16","Puede que lo vote",0.41,0.04,0.059,0.157,0.112
"P16","Nunca lo votaría",0.234,0.886,0.829,0.561,0.692
"P16","No sabe",0.12,0.033,0.046,0.151,0.142
"P17","La votaría",0.738,0.046,0.084,0.212,0.044
"P17","Puede que la vote",0.108,0.023,0.052,0.13,0.086
"P17","Nunca la votaría",0.122,0.915,0.83,0.544,0.744
"P17","No sabe",0.032,0.016,0.034,0.114,0.126
"P18","Lo votaría",0.046,0.367,0.163,0.15,0.116
"P18","Puede que lo vote",0.084,0.375,0.245,0.119,0.262
"P18","Nunca lo votaría",0.808,0.196,0.537,0.586,0.441
"P18","No sabe",0.062,0.062,0.055,0.145,0.181
"P19","Lo votaría",0.032,0.156,0.098,0.112,0.123
"P19","Puede que lo vote",0.119,0.304,0.2,0.152,0.227
"P19","Nunca lo votaría",0.687,0.439,0.574,0.526,0.423
"P19","No sabe",0.162,0.101,0.128,0.21,0.227
"P20","La votaría",0.05,0.539,0.252,0.104,0.171
"P20","Puede que la vote",0.058,0.233,0.303,0.13,0.201
"P20","Nunca la votaría",0.837,0.183,0.374,0.683,0.478
"P20","No sabe",0.055,0.045,0.071,0.083,0.15
"P21","Lo votaría",0.048,0.069,0.587,0.103,0.111
"P21","Puede que lo vote",0.061,0.231,0.219,0.114,0.138
"P21","Nunca lo votaría",0.8,0.621,0.146,0.66,0.598
"P21","No sabe",0.091,0.079,0.048,0.123,0.153
"P22","La votaría",0.055,0.308,0.12,0.145,0.073
"P22","Puede que la vote",0.069,0.345,0.25,0.146,0.215
"P22","Nunca la votaría",0.772,0.277,0.536,0.663,0.52
"P22","No sabe",0.104,0.07,0.094,0.046,0.192
"P23","Lo votaría",0.208,0.055,0.041,0.089,0.052
"P23","Puede que lo vote",0.399,0.044,0.082,0.163,0.09
"P23","Nunca lo votaría",0.241,0.867,0.826,0.597,0.701
"P23","No sabe",0.152,0.034,0.051,0.151,0.157
"P24","Lo votaría",0.018,0.114,0.048,0.129,0.045
"P24","Puede que lo vote",0.08,0.239,0.146,0.137,0.173
"P24","Nunca lo votaría",0.743,0.515,0.654,0.549,0.508
"P24","No sabe",0.159,0.132,0.152,0.185,0.274
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.042,0.618,0.099,0.234,0.017
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.035,0.234,0.088,0.127,0.158
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.087,0.024,0.022,0.085,0.066
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.791,0.032,0.073,0.212,0.018
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.009,0.023,0.665,0.02,0.184
"P25","Otros candidatos",0.036,0.069,0.053,0.322,0.557
