"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Horacio Rodriguez Larreta","Muy buena",0.138,0.11,0.164,0.112,0.129,0.15,0.179,0.138,0.134,0.145,0.137,0.136,0.102,0.145,0.041,0.262,0.205
"Horacio Rodriguez Larreta","Buena",0.204,0.202,0.205,0.16,0.199,0.223,0.248,0.214,0.181,0.225,0.196,0.202,0.166,0.216,0.088,0.401,0.115
"Horacio Rodriguez Larreta","Ni buena ni mala",0.213,0.211,0.215,0.216,0.216,0.211,0.206,0.232,0.229,0.172,0.2,0.241,0.278,0.204,0.175,0.213,0.31
"Horacio Rodriguez Larreta","Mala",0.141,0.158,0.126,0.163,0.139,0.136,0.123,0.134,0.142,0.147,0.156,0.143,0.147,0.127,0.143,0.065,0.155
"Horacio Rodriguez Larreta","Muy mala",0.277,0.294,0.261,0.317,0.29,0.265,0.206,0.243,0.286,0.298,0.292,0.224,0.286,0.286,0.506,0.053,0.215
"Horacio Rodriguez Larreta","No sabe",0.027,0.025,0.029,0.032,0.027,0.015,0.038,0.039,0.028,0.013,0.019,0.054,0.021,0.022,0.047,0.006,0
"Maria Eugenia Vidal","Muy buena",0.159,0.144,0.173,0.135,0.148,0.174,0.194,0.174,0.146,0.161,0.158,0.177,0.105,0.158,0.03,0.287,0.319
"Maria Eugenia Vidal","Buena",0.184,0.189,0.179,0.18,0.177,0.197,0.187,0.154,0.202,0.189,0.19,0.193,0.206,0.172,0.077,0.353,0.032
"Maria Eugenia Vidal","Ni buena ni mala",0.189,0.197,0.18,0.22,0.178,0.178,0.188,0.223,0.174,0.174,0.187,0.251,0.179,0.164,0.086,0.227,0.149
"Maria Eugenia Vidal","Mala",0.117,0.129,0.106,0.106,0.129,0.094,0.135,0.141,0.105,0.109,0.119,0.099,0.095,0.126,0.144,0.053,0.218
"Maria Eugenia Vidal","Muy mala",0.33,0.324,0.337,0.345,0.336,0.342,0.28,0.274,0.354,0.356,0.328,0.241,0.384,0.365,0.612,0.073,0.282
"Maria Eugenia Vidal","No sabe",0.021,0.017,0.025,0.014,0.032,0.015,0.016,0.034,0.019,0.011,0.018,0.039,0.031,0.015,0.051,0.007,0
"Mauricio Macri","Muy buena",0.147,0.127,0.166,0.108,0.137,0.159,0.21,0.153,0.143,0.148,0.16,0.158,0.093,0.139,0.065,0.275,0.056
"Mauricio Macri","Buena",0.153,0.157,0.149,0.139,0.151,0.162,0.162,0.146,0.144,0.172,0.161,0.167,0.117,0.144,0.038,0.285,0.186
"Mauricio Macri","Ni buena ni mala",0.169,0.168,0.169,0.201,0.166,0.148,0.16,0.164,0.187,0.149,0.167,0.2,0.195,0.153,0.096,0.238,0.066
"Mauricio Macri","Mala",0.167,0.179,0.156,0.193,0.153,0.172,0.155,0.197,0.167,0.134,0.161,0.168,0.185,0.168,0.153,0.099,0.269
"Mauricio Macri","Muy mala",0.351,0.362,0.342,0.338,0.383,0.351,0.296,0.327,0.342,0.39,0.342,0.293,0.403,0.379,0.621,0.102,0.423
"Mauricio Macri","No sabe",0.013,0.007,0.018,0.021,0.01,0.008,0.017,0.013,0.017,0.007,0.009,0.014,0.007,0.017,0.027,0.001,0
"CFK","Muy buena",0.217,0.188,0.243,0.183,0.203,0.251,0.246,0.207,0.217,0.225,0.211,0.171,0.223,0.24,0.497,0.008,0.054
"CFK","Buena",0.077,0.078,0.076,0.048,0.092,0.078,0.079,0.096,0.07,0.067,0.069,0.074,0.118,0.08,0.149,0.026,0.072
"CFK","Ni buena ni mala",0.069,0.072,0.067,0.073,0.076,0.062,0.056,0.089,0.073,0.044,0.052,0.098,0.099,0.067,0.123,0.008,0.02
"CFK","Mala",0.071,0.073,0.069,0.081,0.069,0.054,0.086,0.095,0.063,0.058,0.082,0.102,0.073,0.048,0.046,0.067,0.251
"CFK","Muy mala",0.555,0.579,0.533,0.589,0.552,0.549,0.525,0.499,0.566,0.597,0.578,0.543,0.486,0.55,0.173,0.877,0.603
"CFK","No sabe",0.011,0.01,0.012,0.026,0.008,0.006,0.008,0.014,0.011,0.009,0.008,0.012,0.001,0.015,0.012,0.014,0
"Daniel Scioli","Muy buena",0.072,0.068,0.076,0.05,0.057,0.084,0.121,0.111,0.058,0.052,0.063,0.079,0.095,0.073,0.102,0.052,0.114
"Daniel Scioli","Buena",0.164,0.177,0.153,0.12,0.176,0.185,0.165,0.176,0.162,0.155,0.146,0.162,0.147,0.182,0.339,0.094,0.015
"Daniel Scioli","Ni buena ni mala",0.196,0.187,0.203,0.212,0.197,0.191,0.175,0.231,0.191,0.165,0.18,0.235,0.242,0.186,0.253,0.129,0.194
"Daniel Scioli","Mala",0.133,0.135,0.131,0.132,0.13,0.126,0.151,0.128,0.135,0.135,0.16,0.14,0.101,0.112,0.099,0.158,0.257
"Daniel Scioli","Muy mala",0.411,0.414,0.408,0.442,0.418,0.399,0.372,0.321,0.429,0.48,0.437,0.339,0.404,0.423,0.154,0.559,0.42
"Daniel Scioli","No sabe",0.024,0.019,0.029,0.044,0.022,0.015,0.016,0.033,0.025,0.013,0.014,0.045,0.011,0.024,0.053,0.008,0
"Javier Milei","Muy buena",0.1,0.135,0.067,0.188,0.097,0.063,0.039,0.106,0.109,0.08,0.1,0.122,0.082,0.091,0.036,0.092,0.078
"Javier Milei","Buena",0.125,0.14,0.11,0.181,0.126,0.087,0.099,0.12,0.133,0.118,0.137,0.148,0.129,0.104,0.069,0.168,0.122
"Javier Milei","Ni buena ni mala",0.218,0.195,0.239,0.184,0.218,0.247,0.222,0.237,0.214,0.203,0.214,0.235,0.201,0.216,0.114,0.265,0.181
"Javier Milei","Mala",0.156,0.155,0.157,0.114,0.136,0.175,0.233,0.181,0.142,0.15,0.143,0.158,0.182,0.162,0.15,0.198,0.31
"Javier Milei","Muy mala",0.366,0.347,0.384,0.301,0.384,0.403,0.36,0.298,0.367,0.437,0.389,0.271,0.352,0.392,0.584,0.248,0.309
"Javier Milei","No sabe",0.035,0.028,0.043,0.032,0.039,0.025,0.047,0.058,0.035,0.012,0.017,0.066,0.054,0.035,0.047,0.029,0
"Sergio Massa","Muy buena",0.062,0.061,0.062,0.057,0.049,0.067,0.09,0.089,0.047,0.052,0.061,0.046,0.107,0.063,0.118,0.026,0.049
