"var","categoria","Cristina Fernández de Kirchner presidenta – Sergio Massa vice","Mauricio Macri presidente – María Eugenia Vidal vice","No sabe"
"P04","Tengo trabajo estable",0.495,0.467,0.428
"P04","Realizo changas o trabajos de vez en cuando",0.203,0.169,0.213
"P04","No tengo trabajo",0.117,0.182,0.226
"P04","Soy jubilado o pensionado",0.185,0.182,0.133
"P05","Derecha",0.118,0.313,0.215
"P05","Centro derecha",0.065,0.252,0.146
"P05","Centro izquierda",0.387,0.095,0.128
"P05","Izquierda",0.163,0.049,0.063
"P05","No sabe",0.267,0.291,0.448
"P06","Alta",0.579,0.247,0.323
"P06","Media",0.247,0.275,0.371
"P06","Baja",0.174,0.478,0.306
"P07","Estoy de acuerdo",0.626,0.264,0.331
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.224,0.483,0.422
"P07","No estoy de acuerdo",0.095,0.186,0.173
"P07","No sabe",0.055,0.067,0.074
"P08","Del Frente de Todos y el peronismo",0.757,0.075,0.108
"P08","De Cambiemos",0.059,0.608,0.174
"P08","De los Liberales libertarios",0.032,0.217,0.268
"P08","De la Izquierda",0.045,0.017,0.071
"P08","No sabe",0.107,0.083,0.379
"P10","A Alberto Fernández",0.156,0.091,0.176
"P10","A Sergio Massa",0.12,0.194,0.298
"P10","A algún candidato del peronismo",0.145,0.549,0.425
"P10","A algún candidato del kirchnerismo",0.579,0.166,0.101
"P11","A Alberto Fernández",0.096,0.028,0.192
"P11","A Sergio Massa",0.063,0.111,0.158
"P11","A algún candidato del peronismo",0.098,0.547,0.538
"P11","A Cristina Fernández de Kirchner",0.743,0.314,0.112
"P12","A Horacio Rodriguez Larreta",0.323,0.194,0.301
"P12","A Mauricio Macri",0.314,0.41,0.112
"P12","A Patricia Bullrich",0.088,0.275,0.244
"P12","A Facundo Manes",0.176,0.056,0.219
"P12","A Gerardo Morales",0.099,0.065,0.124
"P13","Seguro lo votaria",0.188,0.198,0.226
"P13","Quizás lo votaría",0.235,0.269,0.304
"P13","Nunca lo votaría",0.577,0.533,0.47
"P14","Lo votaría",0.034,0.435,0.066
"P14","Puede que lo vote",0.05,0.307,0.183
"P14","Nunca lo votaría",0.884,0.206,0.621
"P14","No sabe",0.032,0.052,0.13
"P15","Lo votaría",0.168,0.054,0.06
"P15","Puede que lo vote",0.449,0.056,0.124
"P15","Nunca lo votaría",0.282,0.851,0.679
"P15","No sabe",0.101,0.039,0.137
"P16","Lo votaría",0.235,0.043,0.055
"P16","Puede que lo vote",0.402,0.04,0.104
"P16","Nunca lo votaría",0.243,0.887,0.716
"P16","No sabe",0.12,0.03,0.125
"P17","La votaría",0.706,0.044,0.059
"P17","Puede que la vote",0.131,0.026,0.074
"P17","Nunca la votaría",0.132,0.919,0.762
"P17","No sabe",0.031,0.011,0.105
"P18","Lo votaría",0.052,0.309,0.123
