"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Horacio Rodriguez Larreta","Positiva",0.342,0.312,0.369,0.272,0.328,0.373,0.427,0.352,0.315,0.37,0.333,0.338,0.268,0.361,0.129,0.663,0.32
"Horacio Rodriguez Larreta","Neutra",0.213,0.211,0.215,0.216,0.216,0.211,0.206,0.232,0.229,0.172,0.2,0.241,0.278,0.204,0.175,0.213,0.31
"Horacio Rodriguez Larreta","Negativa",0.418,0.452,0.387,0.48,0.429,0.401,0.329,0.377,0.428,0.445,0.448,0.367,0.433,0.413,0.649,0.118,0.37
"Horacio Rodriguez Larreta","No sabe",0.027,0.025,0.029,0.032,0.027,0.015,0.038,0.039,0.028,0.013,0.019,0.054,0.021,0.022,0.047,0.006,0
"Maria Eugenia Vidal","Positiva",0.343,0.333,0.352,0.315,0.325,0.371,0.381,0.328,0.348,0.35,0.348,0.37,0.311,0.33,0.107,0.64,0.351
"Maria Eugenia Vidal","Neutra",0.189,0.197,0.18,0.22,0.178,0.178,0.188,0.223,0.174,0.174,0.187,0.251,0.179,0.164,0.086,0.227,0.149
"Maria Eugenia Vidal","Negativa",0.447,0.453,0.443,0.451,0.465,0.436,0.415,0.415,0.459,0.465,0.447,0.34,0.479,0.491,0.756,0.126,0.5
"Maria Eugenia Vidal","No sabe",0.021,0.017,0.025,0.014,0.032,0.015,0.016,0.034,0.019,0.011,0.018,0.039,0.031,0.015,0.051,0.007,0
"Gerardo Morales","Positiva",0.153,0.156,0.15,0.086,0.152,0.175,0.212,0.164,0.144,0.154,0.141,0.163,0.197,0.154,0.103,0.228,0.087
"Gerardo Morales","Neutra",0.3,0.285,0.314,0.319,0.293,0.294,0.299,0.309,0.31,0.276,0.302,0.315,0.303,0.291,0.223,0.329,0.333
"Gerardo Morales","Negativa",0.45,0.484,0.418,0.452,0.464,0.46,0.399,0.404,0.439,0.512,0.49,0.374,0.449,0.449,0.557,0.347,0.499
"Gerardo Morales","No sabe",0.097,0.075,0.118,0.143,0.091,0.071,0.09,0.123,0.107,0.058,0.067,0.148,0.051,0.106,0.117,0.096,0.081
"Mauricio Macri","Positiva",0.3,0.284,0.315,0.247,0.288,0.321,0.372,0.299,0.287,0.32,0.321,0.325,0.21,0.283,0.103,0.56,0.242
