"var","categoria","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos","Edelvino Bodoira a gobernador y Nora Lucia Sanchez por Viva la Libertad","Carla Deiana a gobernadora y Mauricio Acosta a vicegobernador por el Frente de Izquierda","Otro","En blanco"
"P05","Mucho",0.383,0.551,0.352,0.378,0.295,0.359
"P05","Bastante",0.34,0.274,0.251,0.399,0.239,0.23
"P05","Poco",0.168,0.115,0.193,0.139,0.349,0.206
"P05","Nada",0.099,0.035,0.118,0.051,0.078,0.145
"P05","No sabe",0.01,0.025,0.086,0.033,0.039,0.06
"P06","Siempre",0.248,0.282,0.168,0.301,0.192,0.306
"P06","Casi siempre",0.397,0.358,0.293,0.357,0.315,0.125
"P06","Casi nunca",0.225,0.246,0.33,0.241,0.278,0.369
"P06","Nunca, pero esta es una excepción",0.13,0.114,0.209,0.101,0.215,0.2
"P09","Unidos para Cambiar Santa Fe",0.549,0.26,0.067,0.016,0.037,0.127
"P09","Juntos Avancemos",0.172,0.527,0.127,0.074,0.118,0.006
"P09","De los liberales libertarios",0.125,0.04,0.537,0.153,0.264,0.202
"P09","De la Izquierda",0.021,0.046,0.063,0.689,0.071,0
"P09","Otro",0.078,0.03,0.102,0.008,0.419,0.095
"P09","En blanco",0.014,0.028,0.067,0.029,0.049,0.505
"P09","No sabe",0.041,0.069,0.037,0.031,0.042,0.065
"P13","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.547,0.239,0.458,0.297,0.345,0.288
"P13","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.269,0.176,0.116,0.025,0.084,0.055
"P13","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.104,0.355,0.175,0.184,0.136,0.108
"P13","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.019,0.125,0.089,0.31,0.114,0
"P13","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.022,0.06,0.035,0.153,0.172,0.188
"P13","No sabe",0.039,0.045,0.127,0.031,0.149,0.361
"P14","Totalmente seguro.",0.732,0.767,0.679,0.59,0.467,0.515
"P14","Bastante seguro",0.148,0.114,0.078,0.112,0.131,0.173
"P14","Algo seguro",0.07,0.073,0.102,0.13,0.309,0.04
"P14","Para nada seguro",0.05,0.046,0.141,0.168,0.093,0.272
"P15","Tiene Decidido que va a ir a votar.",0.914,0.919,0.787,0.894,0.846,0.825
"P15","Tiene dudas sobre si va a ir a  votar",0.059,0.043,0.101,0.018,0.113,0.059
"P15","Tiene Decidido que no va a ir a votar",0.027,0.038,0.112,0.088,0.041,0.116
"P19","Si",0.437,0.456,0.417,0.486,0.409,0.536
"P19","No",0.563,0.544,0.583,0.514,0.591,0.464
"P16_imputada","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.121,0.762,0.167,0.246,0.26,0.044
"P16_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.54,0.072,0.111,0.124,0.219,0.148
"P16_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.312,0.145,0.617,0.227,0.359,0.411
"P16_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.007,0.01,0.078,0.384,0.067,0
"P16_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.016,0.009,0.024,0.011,0.087,0.198
"P16_imputada","En blanco",0.004,0.002,0.003,0.008,0.008,0.199
