"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Pullaro","Losada","Fein","Lewandowski","Cleri","Busatto","Rosario","San lorenzo o Villa Constitución","San Martín, Belgrano, Iriondo, Caseros o General López","La Capital","San Jerónimo, Las Colonias, San Justo o Garay","Castellano, San Cristóbal o Nueve de Julio","Vera, General Obligado o San Javier"
"Tiene Decidido que va a ir a votar.",0.897,0.895,0.9,0.85,0.926,0.936,0.849,0.839,0.905,0.951,0.884,0.916,0.932,0.915,0.898,0.913,0.873,0.924,0.934,0.899,1,0.903,0.847,0.879,0.96,0.931,0.942,0.686
"Tiene dudas sobre si va a ir a  votar",0.06,0.069,0.051,0.093,0.038,0.052,0.073,0.097,0.053,0.027,0.077,0.019,0.041,0.049,0.063,0.051,0.091,0.036,0.02,0,0,0.067,0.035,0.066,0.004,0.06,0.052,0.203
"Tiene Decidido que no va a ir a votar",0.043,0.036,0.049,0.057,0.036,0.012,0.078,0.064,0.042,0.022,0.039,0.065,0.027,0.036,0.039,0.036,0.036,0.04,0.046,0.101,0,0.03,0.118,0.055,0.036,0.009,0.006,0.111
