"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Pullaro","Losada","Fein","Lewandowski","Cleri","Busatto","Rosario","San lorenzo o Villa Constitución","San Martín, Belgrano, Iriondo, Caseros o General López","La Capital","San Jerónimo, Las Colonias, San Justo o Garay","Castellano, San Cristóbal o Nueve de Julio","Vera, General Obligado o San Javier"
"Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.304,0.292,0.315,0.28,0.317,0.344,0.255,0.272,0.295,0.352,0.632,0.417,0.046,0.271,0.043,0.127,0.118,0.229,0.79,0.564,0.635,0.392,0.267,0.216,0.267,0.249,0.246,0.238
"Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.466,0.5,0.433,0.365,0.465,0.477,0.581,0.443,0.484,0.466,0.247,0.261,0.853,0.625,0.541,0.762,0.696,0.489,0.107,0.099,0.034,0.352,0.454,0.576,0.527,0.533,0.552,0.601
"Edelvino Bodoira a gobernador y Nora Lucia Sanchez por Viva la Libertad",0.087,0.083,0.09,0.13,0.089,0.074,0.044,0.098,0.101,0.054,0.027,0.193,0.024,0.041,0.205,0.049,0.109,0.066,0.065,0.035,0.204,0.072,0.098,0.121,0.087,0.037,0.107,0.116
"Carla Deiana a gobernadora y Mauricio Acosta a vicegobernador por el Frente de Izquierda",0.035,0.03,0.041,0.032,0.04,0.029,0.038,0.023,0.026,0.062,0.014,0.081,0.014,0.033,0.024,0.012,0.014,0.069,0.017,0.065,0.075,0.04,0.048,0.029,0.02,0.062,0.034,0.011
"Otro",0.071,0.053,0.089,0.15,0.044,0.051,0.056,0.088,0.08,0.041,0.055,0.036,0.054,0.013,0.141,0.031,0.048,0.119,0.017,0.157,0.039,0.092,0.125,0.034,0.051,0.119,0.013,0.034
"En blanco",0.037,0.042,0.032,0.043,0.045,0.025,0.026,0.076,0.014,0.025,0.025,0.012,0.009,0.017,0.046,0.019,0.015,0.028,0.004,0.08,0.013,0.052,0.008,0.024,0.048,0,0.048,0
