"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Pullaro","Losada","Fein","Lewandowski","Cleri","Busatto","Rosario","San lorenzo o Villa Constitución","San Martín, Belgrano, Iriondo, Caseros o General López","La Capital","San Jerónimo, Las Colonias, San Justo o Garay","Castellano, San Cristóbal o Nueve de Julio","Vera, General Obligado o San Javier"
"Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.339,0.291,0.382,0.315,0.365,0.346,0.306,0.326,0.319,0.378,0.722,0.522,0.034,0.321,0.068,0.146,0.158,0.22,0.82,0.793,0.893,0.378,0.37,0.339,0.377,0.283,0.211,0.206
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.312,0.323,0.301,0.212,0.24,0.348,0.528,0.282,0.317,0.337,0.088,0.244,0.802,0.394,0.053,0.473,0.503,0.229,0.051,0.063,0.025,0.261,0.299,0.339,0.302,0.325,0.447,0.397
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.287,0.319,0.258,0.37,0.346,0.252,0.115,0.322,0.303,0.23,0.158,0.122,0.138,0.211,0.846,0.344,0.283,0.432,0.118,0.053,0.082,0.286,0.292,0.278,0.232,0.295,0.338,0.359
"Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.029,0.032,0.027,0.066,0.018,0.021,0.018,0.029,0.032,0.026,0.016,0.099,0.003,0.029,0.005,0.009,0.044,0.028,0.005,0.017,0,0.031,0.017,0.028,0.039,0.085,0,0
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.024,0.018,0.029,0.037,0.02,0.019,0.023,0.033,0.023,0.015,0.013,0.008,0.018,0.042,0.026,0.026,0.003,0.079,0.005,0.074,0,0.032,0.02,0.013,0.034,0.004,0,0.031
"En blanco",0.009,0.017,0.003,0,0.011,0.014,0.01,0.008,0.006,0.014,0.003,0.005,0.005,0.003,0.002,0.002,0.009,0.012,0.001,0,0,0.012,0.002,0.003,0.016,0.008,0.004,0.007
