"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Pullaro","Losada","Fein","Lewandowski","Cleri","Busatto","Rosario","San lorenzo o Villa Constitución","San Martín, Belgrano, Iriondo, Caseros o General López","La Capital","San Jerónimo, Las Colonias, San Justo o Garay","Castellano, San Cristóbal o Nueve de Julio","Vera, General Obligado o San Javier"
"Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.337,0.287,0.382,0.315,0.363,0.34,0.305,0.322,0.319,0.374,0.721,0.517,0.034,0.321,0.068,0.145,0.15,0.22,0.817,0.793,0.893,0.373,0.37,0.338,0.375,0.283,0.211,0.206
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.294,0.305,0.284,0.186,0.221,0.344,0.503,0.257,0.308,0.314,0.088,0.211,0.778,0.384,0.053,0.447,0.491,0.229,0.051,0.063,0.025,0.25,0.279,0.327,0.302,0.325,0.414,0.294
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.28,0.318,0.246,0.37,0.33,0.252,0.112,0.309,0.299,0.227,0.158,0.122,0.138,0.19,0.822,0.343,0.284,0.412,0.118,0.053,0.082,0.282,0.287,0.278,0.23,0.295,0.289,0.359
"Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.029,0.032,0.027,0.067,0.018,0.022,0.018,0.029,0.032,0.027,0.016,0.099,0.003,0.029,0.005,0.009,0.044,0.028,0.005,0.017,0,0.031,0.017,0.028,0.039,0.085,0,0
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.024,0.018,0.029,0.037,0.019,0.018,0.023,0.033,0.023,0.014,0.013,0.007,0.018,0.042,0.026,0.026,0.003,0.079,0.005,0.074,0,0.031,0.02,0.013,0.034,0.004,0,0.031
"En blanco",0.009,0.016,0.003,0,0.011,0.014,0.01,0.008,0.007,0.013,0.003,0.005,0.005,0.003,0.002,0.002,0.009,0.012,0.001,0,0,0.011,0.002,0.003,0.016,0.008,0.004,0.007
"No sabe",0.027,0.024,0.029,0.025,0.038,0.01,0.029,0.042,0.012,0.031,0.001,0.039,0.024,0.031,0.024,0.028,0.019,0.02,0.003,0,0,0.022,0.025,0.013,0.004,0,0.082,0.103
