"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Pullaro","Losada","Fein","Lewandowski","Cleri","Busatto","Rosario","San lorenzo o Villa Constitución","San Martín, Belgrano, Iriondo, Caseros o General López","La Capital","San Jerónimo, Las Colonias, San Justo o Garay","Castellano, San Cristóbal o Nueve de Julio","Vera, General Obligado o San Javier"
"Mucho",0.394,0.422,0.368,0.319,0.428,0.431,0.39,0.314,0.384,0.515,0.519,0.537,0.41,0.38,0.356,0.42,0.417,0.438,0.521,0.572,0.743,0.484,0.316,0.255,0.381,0.38,0.421,0.255
"Bastante",0.272,0.271,0.273,0.253,0.264,0.274,0.316,0.203,0.306,0.312,0.269,0.288,0.349,0.412,0.285,0.305,0.305,0.234,0.27,0.258,0.085,0.255,0.364,0.258,0.23,0.332,0.3,0.289
"Poco",0.198,0.183,0.211,0.217,0.183,0.225,0.166,0.267,0.187,0.122,0.132,0.064,0.19,0.137,0.198,0.193,0.16,0.135,0.107,0.024,0.129,0.17,0.179,0.336,0.206,0.067,0.216,0.189
"Nada",0.098,0.088,0.108,0.16,0.085,0.061,0.079,0.157,0.091,0.033,0.061,0.06,0.032,0.056,0.123,0.058,0.067,0.163,0.075,0.143,0.043,0.06,0.084,0.139,0.166,0.113,0.027,0.167
"No sabe",0.038,0.036,0.04,0.051,0.04,0.009,0.049,0.059,0.032,0.018,0.019,0.051,0.019,0.015,0.038,0.024,0.051,0.03,0.027,0.003,0,0.031,0.057,0.012,0.017,0.108,0.036,0.1
