"var","categoria","Tiene Decidido que va a ir a votar.","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P05","Mucho",0.444,0.174,0.197
"P05","Bastante",0.325,0.297,0.237
"P05","Poco",0.154,0.33,0.154
"P05","Nada",0.059,0.104,0.302
"P05","No sabe",0.018,0.095,0.11
"P06","Siempre",0.241,0.184,0.362
"P06","Casi siempre",0.375,0.362,0.116
"P06","Casi nunca",0.249,0.364,0.196
"P06","Nunca, pero esta es una excepción",0.135,0.09,0.326
"P09","Unidos para Cambiar Santa Fe",0.356,0.219,0.323
"P09","Juntos Avancemos",0.278,0.188,0.22
"P09","De los liberales libertarios",0.149,0.189,0.258
"P09","De la Izquierda",0.056,0.102,0.091
"P09","Otro",0.081,0.111,0.02
"P09","En blanco",0.036,0.091,0.037
"P09","No sabe",0.044,0.1,0.051
"P11","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.451,0.385,0.283
"P11","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.321,0.219,0.25
"P11","Edelvino Bodoira a gobernador y Nora Lucia Sanchez por Viva la Libertad",0.071,0.119,0.213
"P11","Carla Deiana a gobernadora y Mauricio Acosta a vicegobernador por el Frente de Izquierda",0.034,0.011,0.072
"P11","Otro",0.066,0.135,0.048
"P11","En blanco",0.027,0.029,0.079
"P11","No sabe",0.03,0.102,0.055
"P13","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.415,0.432,0.339
"P13","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.199,0.224,0.166
"P13","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.206,0.112,0.057
"P13","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.075,0.076,0.098
"P13","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.049,0.026,0.107
"P13","No sabe",0.056,0.13,0.233
"P14","Totalmente seguro.",0.758,0.28,0.351
"P14","Bastante seguro",0.117,0.31,0.105
"P14","Algo seguro",0.077,0.195,0.232
"P14","Para nada seguro",0.048,0.215,0.312
"P16","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.342,0.226,0.358
"P16","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.303,0.247,0.153
"P16","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.281,0.248,0.321
"P16","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.026,0.083,0.036
"P16","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.022,0,0.079
"P16","En blanco",0.008,0.005,0.032
"P16","No sabe",0.018,0.191,0.021
"P19","Si",0.446,0.477,0.363
"P19","No",0.554,0.523,0.637
"P11_imputada","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.47,0.455,0.286
"P11_imputada","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.329,0.232,0.282
"P11_imputada","Edelvino Bodoira a gobernador y Nora Lucia Sanchez por Viva la Libertad",0.072,0.138,0.213
"P11_imputada","Carla Deiana a gobernadora y Mauricio Acosta a vicegobernador por el Frente de Izquierda",0.035,0.011,0.072
"P11_imputada","Otro",0.067,0.135,0.068
"P11_imputada","En blanco",0.027,0.029,0.079
"P16_imputada","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.343,0.251,0.358
"P16_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.312,0.414,0.175
"P16_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.288,0.247,0.321
"P16_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.026,0.083,0.035
"P16_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.023,0,0.079
"P16_imputada","En blanco",0.008,0.005,0.032
