"var","categoria","Unidos para Cambiar Santa Fe","Juntos Avancemos","De los liberales libertarios","De la Izquierda","Otro","En blanco","No sabe"
"P05","Mucho",0.441,0.534,0.332,0.361,0.369,0.362,0.213
"P05","Bastante",0.333,0.292,0.328,0.302,0.211,0.12,0.219
"P05","Poco",0.13,0.113,0.221,0.218,0.248,0.331,0.206
"P05","Nada",0.069,0.057,0.078,0.1,0.147,0.1,0.298
"P05","No sabe",0.027,0.004,0.041,0.019,0.025,0.087,0.064
"P06","Siempre",0.265,0.309,0.227,0.19,0.246,0.26,0.171
"P06","Casi siempre",0.388,0.334,0.289,0.406,0.332,0.257,0.356
"P06","Casi nunca",0.238,0.246,0.311,0.222,0.186,0.38,0.202
"P06","Nunca, pero esta es una excepción",0.109,0.111,0.173,0.182,0.236,0.103,0.271
"P11","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.734,0.299,0.37,0.109,0.403,0.085,0.116
"P11","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.225,0.605,0.074,0.238,0.105,0.187,0.317
"P11","Edelvino Bodoira a gobernador y Nora Lucia Sanchez por Viva la Libertad",0.014,0.029,0.314,0.094,0.101,0.128,0.059
"P11","Carla Deiana a gobernadora y Mauricio Acosta a vicegobernador por el Frente de Izquierda",0.002,0.01,0.037,0.414,0.003,0.024,0.004
"P11","Otro",0.008,0.032,0.127,0.086,0.338,0.079,0.025
"P11","En blanco",0.013,0.001,0.05,0,0.039,0.422,0.044
"P11","No sabe",0.004,0.024,0.028,0.059,0.011,0.075,0.435
"P13","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.473,0.316,0.638,0.231,0.424,0.117,0.227
"P13","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.289,0.174,0.103,0.168,0.118,0.18,0.196
"P13","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.165,0.314,0.032,0.128,0.189,0.273,0.268
"P13","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.02,0.099,0.092,0.268,0.078,0.067,0.035
"P13","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.02,0.05,0.038,0.163,0.159,0.035,0.085
"P13","No sabe",0.033,0.047,0.097,0.042,0.032,0.328,0.189
"P14","Totalmente seguro.",0.734,0.756,0.776,0.529,0.698,0.448,0.507
"P14","Bastante seguro",0.156,0.093,0.092,0.13,0.101,0.325,0.16
"P14","Algo seguro",0.072,0.095,0.113,0.125,0.116,0.024,0.122
"P14","Para nada seguro",0.038,0.056,0.019,0.216,0.085,0.203,0.211
"P15","Tiene Decidido que va a ir a votar.",0.922,0.923,0.857,0.835,0.906,0.82,0.828
"P15","Tiene dudas sobre si va a ir a  votar",0.038,0.042,0.072,0.1,0.083,0.139,0.126
"P15","Tiene Decidido que no va a ir a votar",0.04,0.035,0.071,0.065,0.011,0.041,0.046
"P16","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.231,0.614,0.109,0.33,0.181,0.45,0.398
"P16","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.476,0.169,0.217,0.289,0.231,0.124,0.158
"P16","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.225,0.18,0.592,0.109,0.438,0.248,0.251
"P16","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.008,0.019,0.053,0.221,0.012,0.016,0
"P16","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.019,0.012,0.017,0.034,0.076,0.006,0.061
"P16","En blanco",0.006,0,0.002,0.005,0.006,0.151,0.006
"P16","No sabe",0.035,0.006,0.01,0.012,0.056,0.005,0.126
"P19","Si",0.418,0.502,0.424,0.47,0.512,0.315,0.344
"P19","No",0.582,0.498,0.576,0.53,0.488,0.685,0.656
"P11_imputada","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.734,0.305,0.392,0.168,0.413,0.15,0.383
"P11_imputada","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.226,0.61,0.081,0.238,0.105,0.192,0.422
"P11_imputada","Edelvino Bodoira a gobernador y Nora Lucia Sanchez por Viva la Libertad",0.017,0.042,0.314,0.094,0.101,0.133,0.064
"P11_imputada","Carla Deiana a gobernadora y Mauricio Acosta a vicegobernador por el Frente de Izquierda",0.002,0.01,0.036,0.414,0.003,0.024,0.022
"P11_imputada","Otro",0.008,0.032,0.127,0.086,0.338,0.079,0.061
"P11_imputada","En blanco",0.013,0.001,0.05,0,0.04,0.422,0.048
"P16_imputada","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.231,0.62,0.109,0.336,0.185,0.45,0.402
"P16_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.495,0.17,0.227,0.289,0.279,0.123,0.273
"P16_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.241,0.18,0.592,0.115,0.442,0.248,0.253
"P16_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.008,0.018,0.053,0.221,0.012,0.016,0
"P16_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.019,0.012,0.017,0.034,0.076,0.012,0.061
"P16_imputada","En blanco",0.006,0,0.002,0.005,0.006,0.151,0.011
