"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Pullaro","Losada","Fein","Lewandowski","Cleri","Busatto","Rosario","San lorenzo o Villa Constitución","San Martín, Belgrano, Iriondo, Caseros o General López","La Capital","San Jerónimo, Las Colonias, San Justo o Garay","Castellano, San Cristóbal o Nueve de Julio","Vera, General Obligado o San Javier"
"Siempre",0.239,0.23,0.248,0.237,0.199,0.264,0.298,0.244,0.235,0.239,0.355,0.281,0.273,0.178,0.208,0.322,0.251,0.235,0.289,0.361,0.134,0.269,0.274,0.264,0.219,0.254,0.132,0.115
"Casi siempre",0.32,0.327,0.312,0.225,0.284,0.44,0.393,0.273,0.312,0.392,0.34,0.378,0.449,0.465,0.257,0.336,0.521,0.24,0.295,0.301,0.45,0.294,0.277,0.335,0.322,0.316,0.427,0.361
"Casi nunca",0.267,0.276,0.259,0.292,0.333,0.203,0.166,0.249,0.285,0.263,0.235,0.196,0.194,0.19,0.354,0.214,0.148,0.457,0.222,0.308,0.385,0.269,0.288,0.208,0.29,0.275,0.31,0.227
"Nunca, pero esta es una excepción",0.174,0.167,0.181,0.246,0.184,0.093,0.143,0.234,0.168,0.106,0.07,0.145,0.084,0.167,0.181,0.128,0.08,0.068,0.194,0.03,0.031,0.168,0.161,0.193,0.169,0.155,0.131,0.297
