"var","categoria","Con políticas de shock, mano dura y castigando a los corruptos y ladrones","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar","Con políticas de desarrollo que permitan el crecimiento con inclusión social","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares","No sabe"
"P05","Mucho",0.361,0.471,0.525,0.403,0.505,0.287
"P05","Bastante",0.324,0.31,0.298,0.421,0.138,0.29
"P05","Poco",0.225,0.139,0.102,0.11,0.121,0.207
"P05","Nada",0.075,0.054,0.06,0.056,0.179,0.093
"P05","No sabe",0.015,0.026,0.015,0.01,0.057,0.123
"P06","Siempre",0.252,0.241,0.267,0.224,0.232,0.219
"P06","Casi siempre",0.319,0.369,0.398,0.44,0.472,0.289
"P06","Casi nunca",0.245,0.278,0.266,0.18,0.156,0.307
"P06","Nunca, pero esta es una excepción",0.184,0.112,0.069,0.156,0.14,0.185
"P09","Unidos para Cambiar Santa Fe",0.4,0.506,0.298,0.094,0.127,0.177
"P09","Juntos Avancemos",0.205,0.235,0.434,0.358,0.244,0.192
"P09","De los liberales libertarios",0.236,0.078,0.025,0.189,0.106,0.225
"P09","De la Izquierda",0.033,0.049,0.039,0.211,0.174,0.037
"P09","Otro",0.09,0.052,0.086,0.092,0.254,0.044
"P09","En blanco",0.011,0.035,0.054,0.034,0.024,0.191
"P09","No sabe",0.025,0.045,0.064,0.022,0.071,0.134
"P11","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.608,0.628,0.223,0.12,0.117,0.171
"P11","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.179,0.259,0.563,0.508,0.326,0.217
"P11","Edelvino Bodoira a gobernador y Nora Lucia Sanchez por Viva la Libertad",0.092,0.043,0.056,0.1,0.053,0.163
"P11","Carla Deiana a gobernadora y Mauricio Acosta a vicegobernador por el Frente de Izquierda",0.024,0.003,0.031,0.142,0.095,0.016
"P11","Otro",0.061,0.031,0.052,0.107,0.216,0.17
"P11","En blanco",0.02,0.007,0.016,0,0.097,0.157
"P11","No sabe",0.016,0.029,0.059,0.023,0.096,0.106
"P14","Totalmente seguro.",0.795,0.696,0.71,0.58,0.487,0.454
"P14","Bastante seguro",0.105,0.169,0.085,0.182,0.159,0.244
"P14","Algo seguro",0.044,0.071,0.149,0.117,0.25,0.176
"P14","Para nada seguro",0.056,0.064,0.056,0.121,0.104,0.126
"P15","Tiene Decidido que va a ir a votar.",0.902,0.897,0.953,0.884,0.878,0.738
"P15","Tiene dudas sobre si va a ir a  votar",0.062,0.067,0.034,0.06,0.031,0.114
"P15","Tiene Decidido que no va a ir a votar",0.036,0.036,0.013,0.056,0.091,0.148
"P16","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.152,0.24,0.682,0.591,0.481,0.324
"P16","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.34,0.525,0.124,0.051,0.179,0.188
"P16","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.459,0.184,0.076,0.106,0.102,0.417
"P16","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.009,0.013,0.02,0.203,0.088,0
"P16","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.011,0.006,0.054,0.026,0.102,0
"P16","En blanco",0.003,0.003,0.011,0.007,0.022,0.047
"P16","No sabe",0.026,0.029,0.033,0.016,0.026,0.024
"P19","Si",0.442,0.39,0.503,0.501,0.551,0.303
"P19","No",0.558,0.61,0.497,0.499,0.449,0.697
"P11_imputada","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.619,0.631,0.25,0.12,0.186,0.277
"P11_imputada","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.182,0.277,0.574,0.525,0.339,0.217
"P11_imputada","Edelvino Bodoira a gobernador y Nora Lucia Sanchez por Viva la Libertad",0.093,0.049,0.076,0.1,0.053,0.163
"P11_imputada","Carla Deiana a gobernadora y Mauricio Acosta a vicegobernador por el Frente de Izquierda",0.024,0.004,0.032,0.142,0.094,0.016
"P11_imputada","Otro",0.062,0.031,0.052,0.113,0.231,0.17
"P11_imputada","En blanco",0.02,0.008,0.016,0,0.097,0.157
"P16_imputada","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.152,0.246,0.686,0.591,0.487,0.324
"P16_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.356,0.538,0.151,0.068,0.197,0.209
"P16_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.469,0.194,0.077,0.106,0.104,0.417
"P16_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.009,0.013,0.02,0.203,0.088,0
"P16_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.011,0.006,0.054,0.025,0.102,0.003
"P16_imputada","En blanco",0.003,0.003,0.012,0.007,0.022,0.047
