"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"Totalmente seguro",0.629,0.657,0.603,0.68,0.632,0.613,0.597,0.592,0.633,0.658,0.624,0.598,0.716,0.635
"Bastante seguro",0.165,0.164,0.167,0.191,0.162,0.145,0.175,0.216,0.158,0.127,0.163,0.196,0.124,0.159
"Algo seguro",0.104,0.103,0.105,0.056,0.122,0.112,0.102,0.092,0.095,0.127,0.123,0.069,0.115,0.102
"Para nada seguro",0.102,0.076,0.125,0.073,0.084,0.13,0.126,0.1,0.114,0.088,0.09,0.137,0.045,0.104
