"var","categoria","Totalmente seguro","Bastante seguro","Algo seguro","Para nada seguro"
"P06","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.335,0.313,0.296,0.219
"P06","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.563,0.58,0.356,0.247
"P06","En blanco",0.093,0.096,0.26,0.087
"P06","Aun no tengo decidido mi voto",0.009,0.011,0.088,0.447
"P09","Tiene Decidido que va a ir a votar",0.955,0.809,0.692,0.575
"P09","Tiene dudas sobre si va a ir a  votar",0.026,0.164,0.107,0.333
"P09","Tiene Decidido que no va a ir a votar",0.019,0.027,0.201,0.092
"P10","Lo votaría",0.37,0.27,0.244,0.105
"P10","Puede que lo vote",0.04,0.125,0.156,0.334
"P10","Nunca lo votaría",0.581,0.581,0.512,0.376
"P10","No sabe",0.009,0.024,0.088,0.185
"P11","Lo votaría",0.528,0.406,0.139,0.114
"P11","Puede que lo vote",0.05,0.261,0.347,0.39
"P11","Nunca lo votaría",0.415,0.31,0.432,0.327
"P11","No sabe",0.007,0.023,0.082,0.169
"P12","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.317,0.622,0.493,0.56
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.683,0.378,0.507,0.44
"P14","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.887,0.031,0.419,0.162
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.047,0.954,0.094,0.081
"P14","En blanco",0.066,0.015,0.487,0.757
