"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.263,0.392,0.126,0,0.522,0.368,0.024,0.383,0.265,0.123,0.205,0.217,0.969,0.246
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.127,0.061,0.198,0,0.054,0.262,0.248,0.042,0.09,0.269,0.072,0.235,0.016,0.122
"En blanco",0.61,0.547,0.676,1,0.424,0.37,0.728,0.575,0.645,0.608,0.723,0.548,0.015,0.632
