"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","Aun no tengo decidido mi voto"
"P08","Totalmente seguro",0.667,0.692,0.53,0.094
"P08","Bastante seguro",0.164,0.187,0.144,0.029
"P08","Algo seguro",0.098,0.072,0.246,0.147
"P08","Para nada seguro",0.071,0.049,0.08,0.73
"P09","Tiene Decidido que va a ir a votar",0.854,0.927,0.735,0.656
"P09","Tiene dudas sobre si va a ir a  votar",0.112,0.055,0.094,0.227
"P09","Tiene Decidido que no va a ir a votar",0.034,0.018,0.171,0.117
"P10","Lo votaría",0.824,0.076,0.044,0.044
"P10","Puede que lo vote",0.07,0.069,0.181,0.298
"P10","Nunca lo votaría",0.093,0.84,0.694,0.391
"P10","No sabe",0.013,0.015,0.081,0.267
"P11","Lo votaría",0.108,0.726,0.166,0.022
"P11","Puede que lo vote",0.085,0.147,0.224,0.362
"P11","Nunca lo votaría",0.781,0.117,0.561,0.367
"P11","No sabe",0.026,0.01,0.049,0.249
