"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"Tiene Decidido que va a ir a votar",0.866,0.891,0.843,0.853,0.892,0.894,0.791,0.877,0.835,0.892,0.873,0.84,0.912,0.866
"Tiene dudas sobre si va a ir a  votar",0.088,0.069,0.105,0.124,0.068,0.07,0.118,0.077,0.105,0.079,0.08,0.137,0.038,0.079
"Tiene Decidido que no va a ir a votar",0.046,0.04,0.052,0.023,0.04,0.036,0.091,0.046,0.06,0.029,0.047,0.023,0.05,0.055
