"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Asado",0.412,0.47,0.36,0.374,0.432,0.431,0.386,0.427,0.4,0.414,0.388,0.472,0.407,0.342,0.532,0.408,0.434,0.354,0.414,0.422
"Pizza",0.09,0.084,0.095,0.115,0.096,0.076,0.068,0.084,0.104,0.076,0.084,0.071,0.115,0.118,0.028,0.08,0.095,0.098,0.079,0.07
"Milanesa",0.158,0.159,0.158,0.18,0.154,0.157,0.147,0.146,0.16,0.17,0.164,0.162,0.153,0.167,0.203,0.18,0.166,0.094,0.162,0.152
"Pastas",0.112,0.107,0.116,0.129,0.116,0.104,0.095,0.108,0.119,0.104,0.14,0.087,0.13,0.128,0.112,0.068,0.088,0.19,0.091,0.104
"Empanadas",0.045,0.049,0.042,0.072,0.035,0.037,0.047,0.052,0.042,0.042,0.039,0.043,0.024,0.047,0,0.05,0.064,0.054,0.058,0.034
"Hamburguesa",0.012,0.011,0.013,0.022,0.011,0.008,0.007,0.014,0.005,0.019,0.004,0.021,0.008,0.014,0.026,0.009,0.004,0.002,0.021,0.015
"Ensaladas (de cualquier tipo)",0.054,0.027,0.079,0.014,0.042,0.071,0.101,0.037,0.053,0.074,0.085,0.05,0.06,0.041,0.054,0.056,0.05,0.035,0.054,0.053
"Guiso (de lentejas, de arroz, locro o similares)",0.07,0.056,0.082,0.053,0.073,0.074,0.076,0.076,0.076,0.056,0.045,0.055,0.061,0.102,0.014,0.065,0.057,0.127,0.082,0.073
"Polenta o similares (de cualquier tipo)",0.023,0.015,0.029,0.02,0.021,0.019,0.034,0.029,0.024,0.014,0.014,0.029,0.032,0.022,0.023,0.031,0.009,0.025,0.015,0.029
"Ninguno de los anteriores",0.024,0.022,0.026,0.021,0.02,0.023,0.039,0.027,0.017,0.031,0.037,0.01,0.01,0.019,0.008,0.053,0.033,0.021,0.024,0.048
