"var","categoria","Tiene Decidido que va a ir a votar.","Tiene dudas sobre si va a ir a  votar"
"P09_votan","Unión por la Patria",0.269,0.198
"P09_votan","Juntos por el Cambio",0.322,0.166
"P09_votan","De los liberales libertarios",0.241,0.252
"P09_votan","De la Izquierda",0.036,0.096
"P09_votan","Hacemos por nuestro país",0.01,0.022
"P09_votan","Otro",0.03,0.125
"P09_votan","En blanco",0.035,0.063
"P09_votan","No sabe",0.057,0.078
"P19_votan","Sergio Massa Presidente, Agustin Rossi Vicepresidente , Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.254,0.12
"P19_votan","Juan Grabois Presidente, Paula Abal Medina Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.087,0.097
"P19_votan","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.214,0.132
"P19_votan","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente, Diego Santilli gobernador y Gustavo Posse vicegobernador; por Juntos por el Cambio",0.118,0.161
"P19_votan","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.221,0.309
"P19_votan","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de las diferentes opciones de izquierda",0.023,0.037
"P19_votan","Juan Schiaretti a presidente y Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.012,0.019
"P19_votan","Otros",0.019,0.005
"P19_votan","En blanco",0.017,0.013
"P19_votan","No sabe",0.035,0.107
"P22_votan","Totalmente seguro.",0.652,0.234
"P22_votan","Bastante seguro",0.128,0.289
"P22_votan","Algo seguro",0.112,0.111
"P22_votan","Para nada seguro",0.108,0.366
"P34_votan","Inflación",0.347,0.24
"P34_votan","Desempleo",0.083,0.133
"P34_votan","Corrupción",0.235,0.234
"P34_votan","Inseguridad",0.19,0.132
"P34_votan","Precio del dólar",0.011,0.034
"P34_votan","Pobreza",0.055,0.05
"P34_votan","Narcotráfico",0.017,0.074
"P34_votan","Tarifas",0.011,0.063
"P34_votan","Otro",0.037,0.034
"P34_votan","No sabe",0.014,0.006
"P09_imputada_votan","Unión por la Patria",0.276,0.198
"P09_imputada_votan","Juntos por el Cambio",0.343,0.192
"P09_imputada_votan","De los liberales libertarios",0.252,0.289
"P09_imputada_votan","De la Izquierda",0.047,0.11
"P09_imputada_votan","Hacemos por nuestro país",0.012,0.023
"P09_imputada_votan","Otro",0.033,0.125
"P09_imputada_votan","En blanco",0.037,0.063
"P19_imputada_votan","Sergio Massa Presidente, Agustin Rossi Vicepresidente , Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.267,0.143
"P19_imputada_votan","Juan Grabois Presidente, Paula Abal Medina Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.087,0.121
"P19_imputada_votan","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.222,0.144
"P19_imputada_votan","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente, Diego Santilli gobernador y Gustavo Posse vicegobernador; por Juntos por el Cambio",0.125,0.161
"P19_imputada_votan","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.226,0.357
"P19_imputada_votan","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de las diferentes opciones de izquierda",0.023,0.037
"P19_imputada_votan","Juan Schiaretti a presidente y Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.012,0.019
"P19_imputada_votan","Otros",0.021,0.005
"P19_imputada_votan","En blanco",0.017,0.013
