"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior"
"Sergio Massa Presidente, Agustin Rossi Vicepresidente , Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.242,0.21,0.272,0.168,0.278,0.245,0.28,0.259,0.218,0.264,0.471,0.066,0.14,0.251,0.225
"Juan Grabois Presidente, Paula Abal Medina Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.091,0.076,0.105,0.128,0.089,0.054,0.083,0.1,0.08,0.099,0.143,0.064,0.054,0.085,0.104
"Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.208,0.2,0.214,0.135,0.161,0.281,0.344,0.189,0.208,0.235,0.09,0.378,0.117,0.204,0.216
"Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente, Diego Santilli gobernador y Gustavo Posse vicegobernador; por Juntos por el Cambio",0.117,0.104,0.129,0.08,0.122,0.148,0.126,0.119,0.113,0.119,0.066,0.183,0.232,0.104,0.14
"Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.218,0.275,0.166,0.346,0.222,0.135,0.104,0.218,0.235,0.189,0.133,0.227,0.234,0.213,0.229
"Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de las diferentes opciones de izquierda",0.025,0.03,0.02,0.006,0.037,0.039,0.008,0.03,0.014,0.037,0.022,0.012,0,0.031,0.012
"Juan Schiaretti a presidente y Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.013,0.017,0.01,0,0.016,0.022,0.016,0.016,0.014,0.007,0.012,0.008,0.023,0.014,0.011
"Otros",0.022,0.035,0.011,0.036,0.018,0.019,0.012,0.024,0.025,0.014,0.008,0.015,0.035,0.019,0.029
"En blanco",0.02,0.019,0.02,0.029,0.017,0.017,0.016,0.02,0.021,0.017,0.028,0.007,0.083,0.022,0.015
"No sabe",0.044,0.034,0.053,0.072,0.04,0.04,0.011,0.025,0.072,0.019,0.027,0.04,0.082,0.057,0.019
