"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior"
"Sergio Massa Presidente, Agustin Rossi Vicepresidente , Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.237,0.205,0.266,0.171,0.27,0.237,0.272,0.241,0.221,0.262,0.459,0.066,0.12,0.244,0.224
"Juan Grabois Presidente, Paula Abal Medina Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.091,0.073,0.108,0.133,0.086,0.056,0.077,0.092,0.084,0.102,0.146,0.061,0.046,0.088,0.097
"Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.203,0.198,0.207,0.135,0.154,0.284,0.329,0.193,0.197,0.231,0.092,0.369,0.214,0.195,0.218
"Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente, Diego Santilli gobernador y Gustavo Posse vicegobernador; por Juntos por el Cambio",0.119,0.108,0.129,0.085,0.126,0.145,0.125,0.128,0.113,0.116,0.07,0.191,0.204,0.112,0.132
"Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.214,0.272,0.16,0.334,0.216,0.134,0.109,0.206,0.234,0.187,0.126,0.225,0.202,0.209,0.223
"Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de las diferentes opciones de izquierda",0.025,0.029,0.021,0.006,0.037,0.042,0.008,0.028,0.017,0.036,0.023,0.011,0,0.031,0.013
"Juan Schiaretti a presidente y Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.013,0.015,0.011,0,0.015,0.02,0.019,0.016,0.014,0.007,0.012,0.008,0.02,0.013,0.012
"Otros",0.026,0.036,0.018,0.033,0.03,0.02,0.015,0.035,0.026,0.014,0.017,0.016,0.03,0.022,0.036
"En blanco",0.025,0.027,0.023,0.036,0.021,0.024,0.016,0.026,0.024,0.024,0.029,0.01,0.073,0.026,0.023
"No sabe",0.047,0.037,0.057,0.067,0.045,0.038,0.03,0.035,0.07,0.021,0.026,0.043,0.091,0.06,0.022
