"var","categoria","Tiene Decidido que va a ir a votar.","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P09","Unión por la Patria",0.27,0.199,0.091
"P09","Juntos por el Cambio",0.322,0.164,0.179
"P09","De los liberales libertarios",0.241,0.253,0.061
"P09","De la Izquierda",0.036,0.096,0.099
"P09","Hacemos por nuestro país",0.01,0.023,0.076
"P09","Otro",0.03,0.122,0.097
"P09","En blanco",0.034,0.063,0.176
"P09","No sabe",0.057,0.08,0.221
"P19","Sergio Massa Presidente, Agustin Rossi Vicepresidente , Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.254,0.12,0.139
"P19","Juan Grabois Presidente, Paula Abal Medina Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.087,0.098,0.088
"P19","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.214,0.131,0.122
"P19","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente, Diego Santilli gobernador y Gustavo Posse vicegobernador; por Juntos por el Cambio",0.119,0.16,0.155
"P19","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.22,0.309,0.15
"P19","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de las diferentes opciones de izquierda",0.023,0.038,0.023
"P19","Juan Schiaretti a presidente y Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.012,0.018,0.012
"P19","Otros",0.019,0.005,0.1
"P19","En blanco",0.017,0.013,0.111
"P19","No sabe",0.035,0.108,0.1
"P22","Totalmente seguro.",0.652,0.235,0.162
"P22","Bastante seguro",0.129,0.288,0.126
"P22","Algo seguro",0.112,0.112,0.269
"P22","Para nada seguro",0.107,0.365,0.443
"P34","Inflación",0.348,0.242,0.311
"P34","Desempleo",0.082,0.133,0.016
"P34","Corrupción",0.235,0.229,0.255
"P34","Inseguridad",0.19,0.132,0.261
"P34","Precio del dólar",0.011,0.034,0
"P34","Pobreza",0.055,0.05,0.007
"P34","Narcotráfico",0.017,0.075,0.031
"P34","Tarifas",0.011,0.064,0
"P34","Otro",0.037,0.035,0.05
"P34","No sabe",0.014,0.006,0.069
"P09_imputada","Unión por la Patria",0.278,0.198,0.166
"P09_imputada","Juntos por el Cambio",0.344,0.191,0.257
"P09_imputada","De los liberales libertarios",0.25,0.292,0.076
"P09_imputada","De la Izquierda",0.047,0.111,0.12
"P09_imputada","Hacemos por nuestro país",0.012,0.023,0.076
"P09_imputada","Otro",0.033,0.122,0.112
"P09_imputada","En blanco",0.036,0.063,0.193
"P19_imputada","Sergio Massa Presidente, Agustin Rossi Vicepresidente , Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.267,0.143,0.14
"P19_imputada","Juan Grabois Presidente, Paula Abal Medina Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.087,0.122,0.112
"P19_imputada","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.222,0.143,0.163
"P19_imputada","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente, Diego Santilli gobernador y Gustavo Posse vicegobernador; por Juntos por el Cambio",0.126,0.16,0.155
"P19_imputada","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.225,0.357,0.171
"P19_imputada","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de las diferentes opciones de izquierda",0.023,0.038,0.028
"P19_imputada","Juan Schiaretti a presidente y Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.012,0.019,0.012
"P19_imputada","Otros",0.021,0.005,0.108
"P19_imputada","En blanco",0.017,0.013,0.111
