"var","categoria","Totalmente seguro.","Bastante seguro","Algo seguro","Para nada seguro"
"P09","Unión por la Patria",0.293,0.25,0.178,0.174
"P09","Juntos por el Cambio",0.335,0.331,0.292,0.162
"P09","De los liberales libertarios",0.249,0.268,0.223,0.111
"P09","De la Izquierda",0.034,0.049,0.073,0.049
"P09","Hacemos por nuestro país",0.012,0.007,0.01,0.04
"P09","Otro",0.022,0.027,0.043,0.123
"P09","En blanco",0.026,0.025,0.048,0.137
"P09","No sabe",0.029,0.043,0.133,0.204
"P19","Sergio Massa Presidente, Agustin Rossi Vicepresidente , Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.282,0.201,0.193,0.13
"P19","Juan Grabois Presidente, Paula Abal Medina Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.069,0.202,0.074,0.06
"P19","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.229,0.222,0.155,0.144
"P19","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente, Diego Santilli gobernador y Gustavo Posse vicegobernador; por Juntos por el Cambio",0.114,0.116,0.186,0.122
"P19","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.237,0.167,0.301,0.121
"P19","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de las diferentes opciones de izquierda",0.026,0.011,0.004,0.043
"P19","Juan Schiaretti a presidente y Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.009,0.015,0.026,0.012
"P19","Otros",0.01,0,0.026,0.104
"P19","En blanco",0.016,0.023,0,0.066
"P19","No sabe",0.008,0.043,0.035,0.198
"P23","Tiene Decidido que va a ir a votar.",0.956,0.806,0.796,0.638
"P23","Tiene dudas sobre si va a ir a  votar",0.026,0.134,0.059,0.162
"P23","Tiene Decidido que no va a ir a votar",0.018,0.06,0.145,0.2
"P34","Inflación",0.374,0.347,0.228,0.257
"P34","Desempleo",0.07,0.076,0.135,0.106
"P34","Corrupción",0.23,0.209,0.271,0.261
"P34","Inseguridad",0.178,0.205,0.183,0.234
"P34","Precio del dólar",0.015,0.007,0.012,0
"P34","Pobreza",0.051,0.039,0.096,0.031
"P34","Narcotráfico",0.021,0.01,0.03,0.025
"P34","Tarifas",0.015,0.033,0,0
"P34","Otro",0.037,0.024,0.045,0.055
"P34","No sabe",0.009,0.05,0,0.031
"P09_imputada","Unión por la Patria",0.296,0.264,0.194,0.213
"P09_imputada","Juntos por el Cambio",0.347,0.341,0.37,0.212
"P09_imputada","De los liberales libertarios",0.256,0.271,0.256,0.136
"P09_imputada","De la Izquierda",0.034,0.054,0.078,0.124
"P09_imputada","Hacemos por nuestro país",0.012,0.007,0.011,0.046
"P09_imputada","Otro",0.028,0.027,0.043,0.124
"P09_imputada","En blanco",0.027,0.036,0.048,0.145
"P19_imputada","Sergio Massa Presidente, Agustin Rossi Vicepresidente , Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.283,0.222,0.219,0.174
"P19_imputada","Juan Grabois Presidente, Paula Abal Medina Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.069,0.202,0.074,0.081
"P19_imputada","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.23,0.222,0.155,0.212
"P19_imputada","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente, Diego Santilli gobernador y Gustavo Posse vicegobernador; por Juntos por el Cambio",0.115,0.138,0.186,0.138
"P19_imputada","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.242,0.167,0.311,0.152
"P19_imputada","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de las diferentes opciones de izquierda",0.026,0.011,0.004,0.045
"P19_imputada","Juan Schiaretti a presidente y Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.009,0.015,0.025,0.012
"P19_imputada","Otros",0.01,0,0.026,0.12
"P19_imputada","En blanco",0.016,0.023,0,0.066
