"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente , Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria","Juan Grabois Presidente, Paula Abal Medina Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente, Diego Santilli gobernador y Gustavo Posse vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de las diferentes opciones de izquierda","Juan Schiaretti a presidente y Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P09_votan","Unión por la Patria",0.686,0.451,0.07,0.119,0.108,0.125,0,0,0.059,0.075
"P09_votan","Juntos por el Cambio",0.147,0.237,0.747,0.621,0.058,0,0.019,0.086,0.049,0.025
"P09_votan","De los liberales libertarios",0.096,0.085,0.125,0.102,0.695,0.044,0.13,0.047,0.019,0.187
"P09_votan","De la Izquierda",0.025,0.131,0.026,0.042,0.013,0.638,0.024,0,0.022,0.022
"P09_votan","Hacemos por nuestro país",0.002,0.016,0,0.01,0.012,0.016,0.162,0,0,0
"P09_votan","Otro",0.005,0.015,0.011,0.035,0.022,0.136,0.156,0.306,0.08,0.165
"P09_votan","En blanco",0.005,0,0,0.026,0.02,0,0.36,0.193,0.544,0.191
"P09_votan","No sabe",0.034,0.065,0.021,0.045,0.072,0.041,0.149,0.368,0.227,0.335
"P22_votan","Totalmente seguro.",0.723,0.501,0.681,0.562,0.665,0.696,0.465,0.329,0.48,0.126
"P22_votan","Bastante seguro",0.118,0.351,0.139,0.146,0.112,0.071,0.189,0,0.023,0.167
"P22_votan","Algo seguro",0.083,0.093,0.086,0.176,0.149,0,0.268,0.082,0,0.113
"P22_votan","Para nada seguro",0.076,0.055,0.094,0.116,0.074,0.233,0.078,0.589,0.497,0.594
"P23_votan","Tiene Decidido que va a ir a votar.",0.967,0.924,0.957,0.909,0.907,0.893,0.896,0.981,0.946,0.815
"P23_votan","Tiene dudas sobre si va a ir a  votar",0.033,0.076,0.043,0.091,0.093,0.107,0.104,0.019,0.054,0.185
"P34_votan","Inflación",0.449,0.407,0.288,0.301,0.345,0.167,0.04,0.099,0.338,0.311
"P34_votan","Desempleo",0.068,0.109,0.078,0.146,0.045,0.042,0.031,0.173,0.065,0.114
"P34_votan","Corrupción",0.117,0.085,0.276,0.266,0.332,0.104,0.543,0.315,0.065,0.319
"P34_votan","Inseguridad",0.175,0.162,0.27,0.175,0.16,0.405,0.031,0.022,0.117,0.113
"P34_votan","Precio del dólar",0.022,0.03,0.012,0,0.007,0,0,0,0,0
"P34_votan","Pobreza",0.089,0.068,0.056,0.038,0.025,0.233,0.061,0,0,0
"P34_votan","Narcotráfico",0.011,0.008,0.002,0.047,0.036,0,0,0,0.152,0.01
"P34_votan","Tarifas",0.005,0.063,0.004,0,0.02,0,0,0.214,0,0
"P34_votan","Otro",0.045,0.068,0.01,0.023,0.018,0.049,0.268,0.177,0.263,0
"P34_votan","No sabe",0.019,0,0.004,0.004,0.012,0,0.026,0,0,0.133
