"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente , Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria","Juan Grabois Presidente, Paula Abal Medina Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente, Diego Santilli gobernador y Gustavo Posse vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de las diferentes opciones de izquierda","Juan Schiaretti a presidente y Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco"
"P22_votan","Totalmente seguro.",0.687,0.493,0.657,0.54,0.657,0.696,0.465,0.301,0.48
"P22_votan","Bastante seguro",0.124,0.344,0.134,0.165,0.109,0.071,0.189,0,0.023
"P22_votan","Algo seguro",0.092,0.091,0.083,0.167,0.149,0,0.268,0.075,0
"P22_votan","Para nada seguro",0.097,0.072,0.126,0.128,0.085,0.233,0.078,0.624,0.497
"P23_votan","Tiene Decidido que va a ir a votar.",0.962,0.907,0.954,0.913,0.896,0.893,0.896,0.983,0.946
"P23_votan","Tiene dudas sobre si va a ir a  votar",0.038,0.093,0.046,0.087,0.104,0.107,0.104,0.017,0.054
"P34_votan","Inflación",0.426,0.396,0.285,0.326,0.35,0.167,0.04,0.099,0.338
"P34_votan","Desempleo",0.083,0.106,0.076,0.138,0.043,0.042,0.031,0.173,0.065
"P34_votan","Corrupción",0.12,0.108,0.285,0.254,0.336,0.104,0.543,0.315,0.065
"P34_votan","Inseguridad",0.172,0.158,0.264,0.177,0.158,0.405,0.031,0.022,0.117
"P34_votan","Precio del dólar",0.021,0.029,0.012,0,0.007,0,0,0,0
"P34_votan","Pobreza",0.083,0.066,0.055,0.036,0.024,0.233,0.061,0,0
"P34_votan","Narcotráfico",0.011,0.008,0.001,0.045,0.034,0,0,0,0.152
"P34_votan","Tarifas",0.005,0.062,0.004,0,0.019,0,0,0.214,0
"P34_votan","Otro",0.042,0.067,0.01,0.021,0.017,0.049,0.268,0.177,0.263
"P34_votan","No sabe",0.037,0,0.008,0.003,0.012,0,0.026,0,0
