"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Espinoza","Finocchiaro","Costieri","González Seligra","González Catan/Virrey del Pino","Rafael Castillo/Laferrere/Isidro Casanova"," San Justo/Ramos Mejía/Lomas del Mirador/Villa Luzuriaga Manzanares","La Tablada/Ciudad Evita/Aldo Bonzi/Villa Madero/Villa Celina/Tapiales"
"Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Espinoza a intendente por Unión por la Patria",0.271,0.261,0.281,0.18,0.298,0.299,0.328,0.307,0.258,0.22,0.527,0.066,0.22,0.074,0.251,0.305,0.231,0.291
"Sergio Massa a presidente, Axel Kicillof a gobernador y Patricia Cubria a intendente por Unión por la Patria",0.089,0.075,0.1,0.072,0.095,0.093,0.094,0.109,0.077,0.072,0.126,0.053,0.114,0.098,0.108,0.105,0.082,0.052
"Juan Grabois a presidente, Axel Kicillof a gobernador y Fernando Espinoza a intendente por Unión por la Patria",0.043,0.05,0.038,0.053,0.042,0.04,0.033,0.031,0.044,0.072,0.061,0.015,0.018,0.098,0.032,0.036,0.064,0.037
"Juan Grabois a presidente, Axel Kicillof a gobernador y Patricia Cubria a intendente por Unión por la Patria",0.049,0.051,0.048,0.054,0.067,0.029,0.022,0.039,0.057,0.052,0.053,0.029,0.043,0.11,0.036,0.042,0.052,0.071
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Eduardo “Lalo” Creus a intendente por Juntos por el Cambio",0.203,0.206,0.2,0.194,0.163,0.257,0.253,0.226,0.175,0.225,0.093,0.433,0.074,0.116,0.168,0.205,0.248,0.17
"Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Josefina Mendoza a intendente por Juntos por el Cambio",0.093,0.056,0.127,0.074,0.082,0.102,0.15,0.076,0.104,0.106,0.036,0.201,0.099,0.073,0.096,0.089,0.095,0.095
"Javier Milei a presidente, Carolina Piparo a gobernadora  y Adrián ""El Dipy"" Martínez a intendente por la Libertad Avanza",0.177,0.226,0.133,0.232,0.199,0.137,0.068,0.156,0.194,0.18,0.068,0.176,0.312,0.136,0.171,0.16,0.185,0.2
"Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.02,0.013,0.025,0.034,0.018,0.008,0.014,0.017,0.02,0.025,0.007,0.001,0,0.214,0.031,0.014,0.018,0.02
"Otros",0.055,0.062,0.048,0.107,0.036,0.035,0.038,0.039,0.071,0.048,0.029,0.026,0.12,0.081,0.107,0.044,0.025,0.064
