"var","categoria","Fernando Espinoza a intendente por Unión por la Patria","Patricia Cubria a intendente por Unión por la Patria","María Laura Ramírez a intendente por Unión por la Patria","Eduardo “Lalo” Creus por Juntos por el Cambio","Josefina Mendoza por Juntos por el Cambio","Héctor “Toty” Flores a intendente por Juntos por el Cambio","Adrián ""El Dipy"" Martínez a intendente por la Libertad Avanza","Alberto Samid a intendente por Principios y Valores","Alguno de los candidatos a intendente de la Izquierda","No sabe"
"P22","Lo votaría",0.07,0.071,0.018,0.127,0.341,0.054,0.576,0.131,0.005,0.031
"P22","Puede que lo vote",0.081,0.028,0.123,0.123,0.157,0.211,0.115,0.078,0.063,0.043
"P22","Nunca lo votaría",0.671,0.845,0.734,0.525,0.37,0.592,0.269,0.668,0.865,0.458
"P22","No sabe",0.178,0.056,0.125,0.225,0.132,0.143,0.04,0.123,0.067,0.468
"P23","Lo votaría",0.067,0.047,0.022,0.097,0.127,0.032,0.082,0.602,0.032,0.042
"P23","Puede que lo vote",0.101,0.147,0.045,0.039,0.033,0.017,0.043,0.084,0.162,0.049
"P23","Nunca lo votaría",0.623,0.719,0.893,0.764,0.713,0.892,0.794,0.226,0.677,0.549
"P23","No sabe",0.209,0.087,0.04,0.1,0.127,0.059,0.081,0.088,0.129,0.36
"P24","Si",0.5,0.387,0.277,0.43,0.334,0.466,0.426,0.671,0.45,0.191
"P24","No",0.5,0.613,0.723,0.57,0.666,0.534,0.574,0.329,0.55,0.809
