"var","categoria","Si","No"
"P06","Mucho",0.504,0.282
"P06","Bastante",0.275,0.297
"P06","Poco",0.146,0.188
"P06","Nada",0.042,0.178
"P06","No sabe",0.033,0.055
"P07","Siempre",0.373,0.164
"P07","Casi siempre",0.381,0.293
"P07","Casi nunca",0.191,0.359
"P07","Nunca, pero esta es una excepción",0.055,0.184
"P08","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Espinoza a intendente por Unión por la Patria",0.285,0.212
"P08","Sergio Massa a presidente, Axel Kicillof a gobernador y Patricia Cubria a intendente por Unión por la Patria",0.07,0.08
"P08","Juan Grabois a presidente, Axel Kicillof a gobernador y Fernando Espinoza a intendente por Unión por la Patria",0.046,0.039
"P08","Juan Grabois a presidente, Axel Kicillof a gobernador y Patricia Cubria a intendente por Unión por la Patria",0.067,0.045
"P08","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Eduardo “Lalo” Creus a intendente por Juntos por el Cambio",0.22,0.181
"P08","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Josefina Mendoza a intendente por Juntos por el Cambio",0.059,0.097
"P08","Javier Milei a presidente, Carolina Piparo a gobernadora  y Adrián ""El Dipy"" Martínez a intendente por la Libertad Avanza",0.173,0.166
"P08","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.018,0.03
"P08","Otros",0.021,0.052
"P08","No sabe",0.041,0.098
"P11","Totalmente seguro",0.618,0.58
"P11","Bastante seguro",0.195,0.094
"P11","Algo seguro",0.115,0.135
"P11","Para nada seguro",0.072,0.191
"P12","Tiene Decidido que va a ir a votar",0.901,0.861
"P12","Tiene dudas sobre si va a ir a  votar",0.069,0.07
"P12","Tiene Decidido que no va a ir a votar",0.03,0.069
"P13","Fernando Espinoza a intendente por Unión por la Patria",0.306,0.205
"P13","Patricia Cubria a intendente por Unión por la Patria",0.092,0.098
"P13","María Laura Ramírez a intendente por Unión por la Patria",0.004,0.008
"P13","Eduardo “Lalo” Creus por Juntos por el Cambio",0.197,0.175
"P13","Josefina Mendoza por Juntos por el Cambio",0.037,0.049
"P13","Héctor “Toty” Flores a intendente por Juntos por el Cambio",0.079,0.061
"P13","Adrián ""El Dipy"" Martínez a intendente por la Libertad Avanza",0.146,0.132
"P13","Alberto Samid a intendente por Principios y Valores",0.015,0.005
"P13","Alguno de los candidatos a intendente de la Izquierda",0.042,0.035
"P13","No sabe",0.082,0.232
"P16","Lo votaría",0.289,0.177
"P16","Puede que lo vote",0.107,0.096
"P16","Nunca lo votaría",0.513,0.576
"P16","No sabe",0.091,0.151
"P17","Lo votaría",0.116,0.094
"P17","Puede que lo vote",0.18,0.109
"P17","Nunca lo votaría",0.544,0.54
"P17","No sabe",0.16,0.257
"P18","Lo votaría",0.063,0.033
"P18","Puede que lo vote",0.087,0.105
"P18","Nunca lo votaría",0.596,0.562
"P18","No sabe",0.254,0.3
"P19","Lo votaría",0.182,0.114
"P19","Puede que lo vote",0.136,0.124
"P19","Nunca lo votaría",0.478,0.491
"P19","No sabe",0.204,0.271
"P20","Lo votaría",0.079,0.036
"P20","Puede que lo vote",0.085,0.097
"P20","Nunca lo votaría",0.59,0.554
"P20","No sabe",0.246,0.313
"P21","Lo votaría",0.152,0.143
"P21","Puede que lo vote",0.142,0.136
"P21","Nunca lo votaría",0.528,0.509
"P21","No sabe",0.178,0.212
"P22","Lo votaría",0.15,0.154
"P22","Puede que lo vote",0.114,0.077
"P22","Nunca lo votaría",0.598,0.541
"P22","No sabe",0.138,0.228
"P23","Lo votaría",0.085,0.054
"P23","Puede que lo vote",0.052,0.082
"P23","Nunca lo votaría",0.718,0.69
"P23","No sabe",0.145,0.174
