"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Espinoza","Finocchiaro","Costieri","González Seligra","González Catan/Virrey del Pino","Rafael Castillo/Laferrere/Isidro Casanova"," San Justo/Ramos Mejía/Lomas del Mirador/Villa Luzuriaga Manzanares","La Tablada/Ciudad Evita/Aldo Bonzi/Villa Madero/Villa Celina/Tapiales"
"Mucho",0.335,0.392,0.283,0.27,0.37,0.328,0.373,0.314,0.313,0.454,0.437,0.294,0.267,0.42,0.294,0.288,0.383,0.384
"Bastante",0.28,0.258,0.301,0.266,0.281,0.29,0.292,0.256,0.297,0.294,0.28,0.434,0.402,0.116,0.242,0.27,0.322,0.277
"Poco",0.173,0.137,0.205,0.148,0.183,0.21,0.139,0.189,0.178,0.116,0.171,0.126,0.181,0.184,0.191,0.218,0.135,0.134
"Nada",0.146,0.154,0.14,0.21,0.128,0.112,0.125,0.171,0.143,0.092,0.069,0.084,0.087,0.268,0.188,0.159,0.102,0.148
"No sabe",0.066,0.059,0.071,0.106,0.038,0.06,0.071,0.07,0.069,0.044,0.043,0.062,0.063,0.012,0.085,0.065,0.058,0.057
