"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Espinoza","Finocchiaro","Costieri","González Seligra","González Catan/Virrey del Pino","Rafael Castillo/Laferrere/Isidro Casanova"," San Justo/Ramos Mejía/Lomas del Mirador/Villa Luzuriaga Manzanares","La Tablada/Ciudad Evita/Aldo Bonzi/Villa Madero/Villa Celina/Tapiales"
"Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Espinoza a intendente por Unión por la Patria",0.246,0.239,0.252,0.146,0.271,0.278,0.319,0.265,0.24,0.213,0.507,0.065,0.212,0.074,0.22,0.277,0.215,0.264
"Sergio Massa a presidente, Axel Kicillof a gobernador y Patricia Cubria a intendente por Unión por la Patria",0.08,0.073,0.086,0.057,0.088,0.088,0.091,0.096,0.069,0.07,0.122,0.044,0.114,0.098,0.097,0.103,0.071,0.038
"Juan Grabois a presidente, Axel Kicillof a gobernador y Fernando Espinoza a intendente por Unión por la Patria",0.042,0.049,0.036,0.053,0.042,0.035,0.033,0.029,0.044,0.071,0.059,0.015,0.015,0.098,0.031,0.034,0.063,0.037
"Juan Grabois a presidente, Axel Kicillof a gobernador y Patricia Cubria a intendente por Unión por la Patria",0.044,0.049,0.039,0.045,0.061,0.024,0.022,0.032,0.052,0.052,0.053,0.029,0.043,0.11,0.036,0.039,0.052,0.049
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Eduardo “Lalo” Creus a intendente por Juntos por el Cambio",0.181,0.189,0.175,0.167,0.149,0.23,0.23,0.186,0.166,0.215,0.078,0.41,0.074,0.116,0.141,0.178,0.231,0.157
"Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Josefina Mendoza a intendente por Juntos por el Cambio",0.088,0.055,0.118,0.071,0.078,0.097,0.139,0.072,0.099,0.097,0.034,0.195,0.099,0.073,0.087,0.084,0.093,0.089
"Javier Milei a presidente, Carolina Piparo a gobernadora  y Adrián ""El Dipy"" Martínez a intendente por la Libertad Avanza",0.16,0.208,0.117,0.211,0.177,0.124,0.066,0.142,0.176,0.16,0.068,0.173,0.302,0.136,0.165,0.151,0.15,0.184
"Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.019,0.013,0.024,0.035,0.015,0.008,0.014,0.017,0.019,0.023,0.007,0.001,0,0.214,0.028,0.013,0.018,0.02
"Otros",0.05,0.058,0.042,0.098,0.032,0.033,0.032,0.035,0.064,0.047,0.028,0.026,0.12,0.081,0.1,0.036,0.024,0.06
"No sabe",0.09,0.067,0.111,0.117,0.087,0.083,0.054,0.126,0.071,0.052,0.044,0.042,0.021,0,0.095,0.085,0.083,0.102
