"var","categoria","Si","No","No sabe"
"P08","Siempre",0.206,0.237,0.176
"P08","Casi siempre",0.336,0.357,0.366
"P08","Casi nunca",0.326,0.291,0.396
"P08","Nunca, pero esta es una excepción",0.132,0.115,0.062
"P09","Muy de acuerdo",0.585,0.153,0.23
"P09","De acuerdo",0.227,0.121,0.227
"P09","Ni de acuerdo ni en desacuerdo",0.09,0.197,0.269
"P09","En desacuerdo",0.04,0.252,0.102
"P09","Muy en desacuerdo",0.05,0.258,0.157
"P09","No sabe",0.008,0.019,0.015
"P10","De acuerdo",0.794,0.265,0.432
"P10","Ni de acuerdo ni en desacuerdo",0.104,0.204,0.212
"P10","En desacuerdo",0.069,0.404,0.24
"P10","No sabe",0.033,0.127,0.116
"P11","De acuerdo",0.804,0.408,0.498
"P11","Ni de acuerdo ni en desacuerdo",0.094,0.23,0.212
"P11","En desacuerdo",0.084,0.279,0.226
"P11","No sabe",0.018,0.083,0.064
"P12","De acuerdo",0.88,0.467,0.625
"P12","Ni de acuerdo ni en desacuerdo",0.061,0.206,0.116
"P12","En desacuerdo",0.041,0.243,0.188
"P12","No sabe",0.018,0.084,0.071
"P13","De acuerdo",0.788,0.279,0.373
"P13","Ni de acuerdo ni en desacuerdo",0.133,0.281,0.301
"P13","En desacuerdo",0.052,0.354,0.248
"P13","No sabe",0.027,0.086,0.078
"P14","De acuerdo",0.791,0.303,0.393
"P14","Ni de acuerdo ni en desacuerdo",0.131,0.248,0.262
"P14","En desacuerdo",0.062,0.388,0.269
"P14","No sabe",0.016,0.061,0.076
"P15","De acuerdo",0.703,0.381,0.445
"P15","Ni de acuerdo ni en desacuerdo",0.2,0.202,0.172
"P15","En desacuerdo",0.077,0.344,0.308
"P15","No sabe",0.02,0.073,0.075
"P16","De acuerdo",0.846,0.455,0.551
"P16","Ni de acuerdo ni en desacuerdo",0.067,0.17,0.105
"P16","En desacuerdo",0.063,0.301,0.249
"P16","No sabe",0.024,0.074,0.095
"P17","De acuerdo",0.728,0.193,0.342
"P17","Ni de acuerdo ni en desacuerdo",0.144,0.145,0.162
"P17","En desacuerdo",0.111,0.62,0.453
"P17","No sabe",0.017,0.042,0.043
"P18","De acuerdo",0.691,0.153,0.268
"P18","Ni de acuerdo ni en desacuerdo",0.163,0.195,0.236
"P18","En desacuerdo",0.117,0.582,0.42
"P18","No sabe",0.029,0.07,0.076
"P19","De acuerdo",0.839,0.257,0.406
"P19","Ni de acuerdo ni en desacuerdo",0.049,0.121,0.179
"P19","En desacuerdo",0.101,0.586,0.378
"P19","No sabe",0.011,0.036,0.037
"P20","De acuerdo",0.791,0.228,0.35
"P20","Ni de acuerdo ni en desacuerdo",0.092,0.183,0.213
"P20","En desacuerdo",0.094,0.536,0.391
"P20","No sabe",0.023,0.053,0.046
"P21","De acuerdo",0.8,0.264,0.374
"P21","Ni de acuerdo ni en desacuerdo",0.091,0.129,0.167
"P21","En desacuerdo",0.093,0.568,0.404
"P21","No sabe",0.016,0.039,0.055
"P22","Si",0.517,0.496,0.317
"P22","No",0.339,0.243,0.121
"P22","No sabe",0.144,0.261,0.562
"P24","Si",0.675,0.103,0.076
"P24","No",0.259,0.833,0.317
"P24","No sabe",0.066,0.064,0.607
"P25","Si",0.696,0.161,0.178
"P25","No",0.234,0.781,0.414
"P25","No sabe",0.07,0.058,0.408
"P26","A favor",0.863,0.3,0.477
"P26","En contra",0.091,0.555,0.298
"P26","No sabe",0.046,0.145,0.225
