"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Si",0.399,0.471,0.326,0.475,0.378,0.358,0.411,0.355,0.423,0.406,0.424,0.414,0.431,0.31,0.247,0.396,0.381,0.615,0.426,0.278
"No",0.497,0.438,0.556,0.429,0.513,0.54,0.481,0.541,0.462,0.502,0.505,0.485,0.477,0.595,0.55,0.574,0.475,0.296,0.407,0.597
"No sabe",0.104,0.091,0.118,0.096,0.109,0.102,0.108,0.104,0.115,0.092,0.071,0.101,0.092,0.095,0.203,0.03,0.144,0.089,0.167,0.125
