"var","categoria","Si","No","No sabe"
"P08","Siempre",0.188,0.238,0.205
"P08","Casi siempre",0.32,0.372,0.371
"P08","Casi nunca",0.354,0.287,0.342
"P08","Nunca, pero esta es una excepción",0.138,0.103,0.082
"P09","Muy de acuerdo",0.59,0.17,0.236
"P09","De acuerdo",0.238,0.124,0.198
"P09","Ni de acuerdo ni en desacuerdo",0.078,0.193,0.305
"P09","En desacuerdo",0.049,0.234,0.102
"P09","Muy en desacuerdo",0.034,0.263,0.136
"P09","No sabe",0.011,0.016,0.023
"P10","De acuerdo",0.807,0.294,0.39
"P10","Ni de acuerdo ni en desacuerdo",0.103,0.201,0.18
"P10","En desacuerdo",0.061,0.388,0.283
"P10","No sabe",0.029,0.117,0.147
"P11","De acuerdo",0.827,0.421,0.474
"P11","Ni de acuerdo ni en desacuerdo",0.105,0.213,0.194
"P11","En desacuerdo",0.051,0.284,0.266
"P11","No sabe",0.017,0.082,0.066
"P12","De acuerdo",0.883,0.487,0.608
"P12","Ni de acuerdo ni en desacuerdo",0.058,0.206,0.107
"P12","En desacuerdo",0.05,0.22,0.231
"P12","No sabe",0.009,0.087,0.054
"P13","De acuerdo",0.775,0.305,0.415
"P13","Ni de acuerdo ni en desacuerdo",0.146,0.278,0.25
"P13","En desacuerdo",0.069,0.333,0.224
"P13","No sabe",0.01,0.084,0.111
"P14","De acuerdo",0.781,0.327,0.445
"P14","Ni de acuerdo ni en desacuerdo",0.132,0.234,0.279
"P14","En desacuerdo",0.075,0.38,0.193
"P14","No sabe",0.012,0.059,0.083
"P15","De acuerdo",0.707,0.392,0.453
"P15","Ni de acuerdo ni en desacuerdo",0.184,0.204,0.238
"P15","En desacuerdo",0.093,0.338,0.225
"P15","No sabe",0.016,0.066,0.084
"P16","De acuerdo",0.854,0.478,0.506
"P16","Ni de acuerdo ni en desacuerdo",0.071,0.147,0.188
"P16","En desacuerdo",0.062,0.296,0.214
"P16","No sabe",0.013,0.079,0.092
"P17","De acuerdo",0.727,0.219,0.355
"P17","Ni de acuerdo ni en desacuerdo",0.131,0.139,0.238
"P17","En desacuerdo",0.136,0.598,0.347
"P17","No sabe",0.006,0.044,0.06
"P18","De acuerdo",0.679,0.191,0.246
"P18","Ni de acuerdo ni en desacuerdo",0.177,0.17,0.319
"P18","En desacuerdo",0.118,0.579,0.318
"P18","No sabe",0.026,0.06,0.117
"P19","De acuerdo",0.85,0.279,0.405
"P19","Ni de acuerdo ni en desacuerdo",0.06,0.103,0.196
"P19","En desacuerdo",0.085,0.585,0.346
"P19","No sabe",0.005,0.033,0.053
"P20","De acuerdo",0.8,0.256,0.35
"P20","Ni de acuerdo ni en desacuerdo",0.097,0.159,0.267
"P20","En desacuerdo",0.086,0.541,0.285
"P20","No sabe",0.017,0.044,0.098
"P21","De acuerdo",0.834,0.273,0.349
"P21","Ni de acuerdo ni en desacuerdo",0.079,0.128,0.194
"P21","En desacuerdo",0.075,0.565,0.368
"P21","No sabe",0.012,0.034,0.089
"P22","Si",0.472,0.528,0.299
"P22","No",0.379,0.208,0.191
"P22","No sabe",0.149,0.264,0.51
"P23","Si",0.737,0.177,0.281
"P23","No",0.214,0.741,0.29
"P23","No sabe",0.049,0.082,0.429
"P24","Si",0.739,0.072,0.136
"P24","No",0.191,0.873,0.193
"P24","No sabe",0.07,0.055,0.671
"P26","A favor",0.896,0.304,0.451
"P26","En contra",0.074,0.557,0.244
"P26","No sabe",0.03,0.139,0.305
