"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Zabaleta","Delfino","De Francesco","Chayan","Arguello"
"Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.332,0.293,0.367,0.26,0.316,0.413,0.39,0.311,0.317,0.401,0.593,0.153,0.299,0.527,0.135,0.119,0.189,0.102
"Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.256,0.271,0.242,0.243,0.255,0.23,0.315,0.313,0.221,0.235,0.106,0.502,0.285,0.16,0.552,0.377,0,0.126
"Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.171,0.213,0.132,0.225,0.189,0.163,0.042,0.072,0.246,0.172,0.13,0.217,0.107,0.122,0.185,0.208,0,0.209
"Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.022,0.014,0.03,0.025,0.027,0.01,0.023,0.029,0.013,0.03,0.017,0,0.061,0.005,0,0.226,0.312,0.101
"En blanco",0.075,0.058,0.09,0.118,0.058,0.045,0.072,0.091,0.079,0.038,0.042,0.057,0.068,0.052,0.068,0.07,0.499,0
"No sabe",0.144,0.151,0.139,0.129,0.155,0.139,0.158,0.184,0.124,0.124,0.112,0.071,0.18,0.134,0.06,0,0,0.462
