"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Zabaleta","Delfino","De Francesco","Chayan","Arguello"
"Siempre",0.159,0.181,0.139,0.189,0.133,0.177,0.138,0.2,0.12,0.175,0.173,0.232,0.129,0.234,0.18,0.145,0.097,0.087
"Casi siempre",0.221,0.225,0.216,0.116,0.251,0.286,0.26,0.185,0.222,0.279,0.297,0.259,0.2,0.276,0.34,0.364,0.282,0.276
"Casi nunca",0.336,0.313,0.358,0.309,0.365,0.328,0.333,0.275,0.393,0.315,0.334,0.319,0.543,0.31,0.299,0.239,0.074,0.28
"Nunca, pero esta es una excepción",0.284,0.281,0.287,0.386,0.251,0.209,0.269,0.34,0.265,0.231,0.196,0.19,0.128,0.18,0.181,0.252,0.547,0.357
