"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Zabaleta","Delfino","De Francesco","Chayan","Arguello"
"Si",0.889,0.865,0.911,0.801,0.931,0.968,0.849,0.851,0.934,0.854,0.921,0.919,0.978,0.85,0.956,1,0.699,1
"No",0.111,0.135,0.089,0.199,0.069,0.032,0.151,0.149,0.066,0.146,0.079,0.081,0.022,0.15,0.044,0,0.301,0
