"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Zabaleta","Delfino","De Francesco","Chayan","Arguello"
"Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.311,0.258,0.361,0.295,0.291,0.347,0.34,0.282,0.328,0.324,0.58,0.098,0.204,0.468,0.106,0.21,0.255,0.125
"Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.213,0.203,0.223,0.199,0.208,0.21,0.257,0.237,0.188,0.23,0.062,0.474,0.143,0.124,0.533,0.174,0.393,0.102
"Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.184,0.27,0.104,0.195,0.235,0.13,0.122,0.146,0.221,0.165,0.113,0.253,0.288,0.135,0.206,0.174,0.13,0.674
"Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.03,0.031,0.028,0.041,0.035,0.015,0.016,0.019,0.029,0.049,0.023,0.007,0,0.026,0.008,0.064,0.168,0
"En blanco",0.064,0.054,0.074,0.071,0.06,0.065,0.059,0.071,0.058,0.066,0.065,0.028,0.105,0.049,0.055,0.062,0.054,0.099
"No sabe",0.198,0.184,0.21,0.199,0.171,0.233,0.206,0.245,0.176,0.166,0.157,0.14,0.26,0.198,0.092,0.316,0,0
