"var","categoria","Unión por la Patria","Juntos por el Cambio","De los Liberales libertarios","De la Izquierda","Hacemos por nuestro pais","Otro","En blanco","No sabe"
"P05","Mucho",0.513,0.252,0.289,0.112,0.101,0.303,0.168,0.079
"P05","Bastante",0.306,0.366,0.241,0.231,0.489,0.211,0.125,0.154
"P05","Poco",0.135,0.255,0.245,0.175,0.151,0.233,0.142,0.238
"P05","Nada",0.038,0.111,0.214,0.434,0.259,0.194,0.422,0.351
"P05","No sabe",0.008,0.016,0.011,0.048,0,0.059,0.143,0.178
"P06","Siempre",0.232,0.198,0.168,0.116,0.065,0.157,0.078,0.056
"P06","Casi siempre",0.31,0.306,0.208,0.162,0,0.269,0.143,0.058
"P06","Casi nunca",0.285,0.355,0.271,0.203,0.59,0.225,0.331,0.388
"P06","Nunca, pero esta es una excepción",0.173,0.141,0.353,0.519,0.345,0.349,0.448,0.498
"P10","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.444,0.107,0.015,0.148,0.52,0.164,0.025,0.026
"P10","Juan Grabois a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.053,0.043,0.072,0.112,0.19,0.028,0.03,0.046
"P10","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.288,0.05,0.08,0.204,0,0.083,0.065,0.047
"P10","Juan Grabois a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.062,0.025,0.019,0.02,0.062,0,0.047,0.016
"P10","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.056,0.427,0.069,0.046,0.144,0.038,0.106,0.05
"P10","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.019,0.276,0.053,0.075,0,0.12,0.025,0.039
"P10","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.037,0.021,0.668,0.02,0,0.218,0.144,0.032
"P10","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.005,0,0,0.164,0,0,0.02,0.109
"P10","En blanco",0.004,0.015,0.024,0.05,0.084,0,0.417,0.03
"P10","No sabe",0.032,0.036,0,0.161,0,0.349,0.121,0.605
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.652,0.078,0.059,0.279,0.408,0.378,0.109,0.034
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.045,0.691,0.135,0.064,0.171,0.065,0.029,0.062
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.082,0.077,0.714,0.118,0.064,0.323,0.11,0.065
"P13","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.026,0.009,0.006,0.275,0,0,0.062,0.019
"P13","En blanco",0.032,0.041,0.005,0.033,0,0.017,0.559,0.028
"P13","No sabe",0.163,0.104,0.081,0.231,0.357,0.217,0.131,0.792
"P16","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.669,0.058,0.1,0.161,0.272,0.242,0.118,0.077
"P16","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.063,0.618,0.13,0.188,0.42,0.092,0,0.042
"P16","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.06,0.139,0.725,0.156,0.154,0.261,0.168,0.043
"P16","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.014,0.03,0.023,0.259,0,0,0,0.023
"P16","En blanco",0.039,0.049,0.014,0,0,0.019,0.618,0.027
"P16","No sabe",0.155,0.106,0.008,0.236,0.154,0.386,0.096,0.788
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.619,0.128,0.036,0.232,0.27,0.269,0.277,0.096
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.048,0.647,0.23,0.119,0.582,0.079,0.031,0.056
"P19","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.153,0.083,0.707,0.074,0,0.44,0.106,0.025
"P19","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.008,0.01,0,0.305,0.148,0,0.027,0.024
"P19","En blanco",0.039,0.029,0.014,0.209,0,0,0.474,0.099
"P19","No sabe",0.133,0.103,0.013,0.061,0,0.212,0.085,0.7
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.686,0.098,0.061,0.306,0.27,0.022,0.051,0.098
"P22","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.074,0.694,0.216,0.196,0.428,0.263,0.065,0.098
"P22","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.065,0.12,0.66,0.076,0.151,0.319,0.244,0.038
"P22","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.016,0,0,0.1,0.151,0,0.03,0.085
"P22","En blanco",0.048,0.052,0,0.136,0,0,0.561,0.076
"P22","No sabe",0.111,0.036,0.063,0.186,0,0.396,0.049,0.605
"P25","Lo votaría",0.377,0.207,0.213,0.115,0,0,0.127,0.158
"P25","Puede que lo vote",0.253,0.194,0.152,0.115,0.435,0.22,0,0.016
"P25","Nunca lo votaría",0.248,0.476,0.562,0.36,0.297,0.331,0.545,0.243
"P25","No sabe",0.122,0.123,0.073,0.41,0.268,0.449,0.328,0.583
"P26","Lo votaría",0.523,0.082,0.141,0.272,0,0.023,0.107,0.102
"P26","Puede que lo vote",0.168,0.161,0.225,0.361,0.295,0.219,0.068,0.14
"P26","Nunca lo votaría",0.19,0.612,0.468,0.276,0.705,0.094,0.695,0.253
"P26","No sabe",0.119,0.145,0.166,0.091,0,0.664,0.13,0.505
"P27","Lo votaría",0.121,0.276,0.185,0.212,0,0,0,0.107
"P27","Puede que lo vote",0.067,0.209,0.142,0,0.401,0.254,0.178,0.031
"P27","Nunca lo votaría",0.628,0.327,0.45,0.4,0.599,0.022,0.552,0.488
"P27","No sabe",0.184,0.188,0.223,0.388,0,0.724,0.27,0.374
"P28","Lo votaría",0.085,0.401,0.241,0.089,0.303,0.059,0.077,0.104
"P28","Puede que lo vote",0.093,0.324,0.171,0.03,0.201,0.312,0.03,0.048
"P28","Nunca lo votaría",0.711,0.181,0.426,0.425,0.202,0.022,0.577,0.358
"P28","No sabe",0.111,0.094,0.162,0.456,0.294,0.607,0.316,0.49
"P29","Lo votaría",0.073,0.042,0.29,0.074,0.202,0.126,0.012,0.018
"P29","Puede que lo vote",0.086,0.17,0.205,0,0,0.223,0.079,0
"P29","Nunca lo votaría",0.692,0.558,0.274,0.505,0.798,0.055,0.668,0.349
"P29","No sabe",0.149,0.23,0.231,0.421,0,0.596,0.241,0.633
"P30","Si",0.883,0.87,1,0.655,1,1,0.942,0.948
"P30","No",0.117,0.13,0,0.345,0,0,0.058,0.052
