"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Los candidatos a presidente y vicepresidente de la izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","En blanco","No sabe"
"P10","Unión por la Patria",0.713,0.056,0.094,0.116,0.089,0.061,0.046
"P10","Juntos por el Cambio",0.172,0.837,0.107,0.205,0.153,0.08,0.045
"P10","De los liberales libertarios",0.067,0.078,0.708,0.065,0.163,0.097,0.113
"P10","De la Izquierda",0.026,0.012,0.022,0.552,0.063,0.104,0.018
"P10","Hacemos por nuestro país",0.001,0.006,0.025,0.009,0.433,0.166,0.02
"P10","Otro",0.005,0.005,0.02,0.053,0.027,0.249,0.048
"P10","En blanco",0.001,0.001,0.015,0,0,0.165,0.271
"P10","No sabe",0.015,0.005,0.009,0,0.072,0.078,0.439
"P16","Union por la Patria",0.723,0.093,0.126,0.257,0.109,0.074,0.118
"P16","Cambiemos",0.138,0.834,0.279,0.057,0.426,0.254,0.14
"P16","Liberales",0.064,0.056,0.513,0.015,0.057,0.082,0.014
"P16","Izquierda",0.028,0.002,0.021,0.544,0.022,0.016,0.055
"P16","No sabe",0.047,0.015,0.061,0.127,0.386,0.574,0.673
"P17","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.728,0.095,0.061,0.339,0.227,0.227,0.245
"P17","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.116,0.814,0.275,0.064,0.336,0.228,0.205
"P17","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.066,0.051,0.556,0.041,0.104,0.076,0
"P17","La candidata a Jefe de Gobierno de la izquierda",0.031,0.003,0.014,0.392,0,0,0.051
"P17","En blanco",0.034,0.013,0.046,0.059,0.183,0.469,0.173
"P17","No sabe",0.025,0.024,0.048,0.105,0.15,0,0.326
"P26","Totalmente seguro",0.704,0.732,0.696,0.598,0.45,0.506,0.085
"P26","Bastante seguro",0.128,0.133,0.173,0.203,0.173,0.128,0.104
"P26","Algo seguro",0.116,0.102,0.089,0.172,0.17,0.148,0.086
"P26","Para nada seguro",0.052,0.033,0.042,0.027,0.207,0.218,0.725
"P27","Tiene Decidido que va a ir a votar",0.916,0.94,0.921,0.903,0.738,0.758,0.742
"P27","Tiene dudas sobre si va a ir a  votar",0.063,0.049,0.07,0.053,0.141,0.064,0.223
"P27","Tiene Decidido que no va a ir a votar",0.021,0.011,0.009,0.044,0.121,0.178,0.035
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.85,0.078,0.11,0.424,0.208,0.259,0.291
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.101,0.851,0.357,0.107,0.499,0.083,0.118
"P28","En blanco",0.023,0.032,0.373,0.083,0.199,0.387,0.039
"P28","No sabe",0.026,0.039,0.16,0.386,0.094,0.271,0.552
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.332,0.832,0.098,0.453,0.49,0.396,0.191
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.091,0.127,0.85,0.099,0.158,0.139,0.116
"P29","En blanco",0.381,0.018,0.029,0.336,0.299,0.172,0.185
"P29","No sabe",0.196,0.023,0.023,0.112,0.053,0.293,0.508
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.81,0.167,0.08,0.536,0.127,0.137,0.147
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.061,0.288,0.842,0.222,0.347,0.163,0.135
"P30","En blanco",0.067,0.372,0.053,0.203,0.429,0.338,0.249
"P30","No sabe",0.062,0.173,0.025,0.039,0.097,0.362,0.469
"P38","Inflación",0.425,0.354,0.401,0.354,0.234,0.078,0.234
"P38","Desempleo",0.113,0.039,0.062,0,0.039,0.409,0.113
"P38","Corrupción",0.1,0.38,0.371,0.237,0.367,0.298,0.376
"P38","Inseguridad",0.113,0.128,0.101,0.069,0.012,0,0.071
"P38","Precio del dólar",0.063,0.002,0,0.008,0,0.044,0
"P38","Pobreza",0.084,0.028,0.036,0.143,0.255,0,0.036
"P38","Narcotráfico",0.001,0.006,0,0,0,0,0.041
"P38","Tarifas",0.006,0.005,0,0.007,0,0,0.017
"P38","Otro",0.076,0.038,0.023,0.182,0.093,0.171,0.077
"P38","No sabe",0.019,0.02,0.006,0,0,0,0.035
