"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.324,0.292,0.351,0.317,0.368,0.312,0.271,0.377,0.251,0.357,0.715,0.177,0.35,0.792,0.743,0.12,0.296,0.031
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.343,0.424,0.276,0.469,0.379,0.299,0.195,0.372,0.348,0.329,0.146,0.408,0.311,0.082,0.111,0.314,0.313,0.871
"En blanco",0.217,0.193,0.237,0.167,0.156,0.258,0.332,0.153,0.271,0.202,0.083,0.274,0.315,0.075,0.097,0.381,0.266,0.043
"No sabe",0.116,0.091,0.136,0.047,0.097,0.131,0.202,0.098,0.13,0.112,0.056,0.141,0.024,0.051,0.049,0.185,0.125,0.055
