"var","categoria","Leandro Santoro a Jefe de Gobierno por Union por la Patria","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza","La candidata a Jefe de Gobierno de la izquierda","En blanco","No sabe"
"P10","Unión por la Patria",0.616,0.058,0.123,0.413,0.196,0.196
"P10","Juntos por el Cambio",0.161,0.753,0.126,0.119,0.178,0.117
"P10","De los liberales libertarios",0.103,0.138,0.698,0.137,0.261,0.125
"P10","De la Izquierda",0.066,0.006,0.028,0.317,0.018,0.092
"P10","Hacemos por nuestro país",0.03,0.017,0.02,0,0.029,0.146
"P10","Otro",0.002,0.014,0,0,0.15,0.036
"P10","En blanco",0.003,0.005,0.002,0,0.09,0.044
"P10","No sabe",0.019,0.009,0.003,0.014,0.078,0.244
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.678,0.065,0.095,0.251,0.183,0.131
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.144,0.739,0.12,0.039,0.113,0.208
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.053,0.143,0.749,0.11,0.233,0.237
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.054,0.006,0.01,0.545,0.056,0.095
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.027,0.024,0.019,0,0.127,0.101
"P13","En blanco",0.014,0.008,0.007,0,0.163,0
"P13","No sabe",0.03,0.015,0,0.055,0.125,0.228
"P16","Union por la Patria",0.708,0.092,0.165,0.109,0.077,0.099
"P16","Cambiemos",0.133,0.843,0.186,0.024,0.16,0.168
"P16","Liberales",0.087,0.047,0.63,0.021,0.131,0.135
"P16","Izquierda",0.018,0.004,0.015,0.756,0.015,0.092
"P16","No sabe",0.054,0.014,0.004,0.09,0.617,0.506
"P26","Totalmente seguro",0.672,0.727,0.73,0.538,0.539,0.297
"P26","Bastante seguro",0.147,0.144,0.161,0.16,0.107,0.136
"P26","Algo seguro",0.107,0.092,0.085,0.191,0.144,0.142
"P26","Para nada seguro",0.074,0.037,0.024,0.111,0.21,0.425
"P27","Tiene Decidido que va a ir a votar",0.905,0.949,0.945,0.932,0.725,0.769
"P27","Tiene dudas sobre si va a ir a  votar",0.076,0.036,0.049,0.068,0.158,0.191
"P27","Tiene Decidido que no va a ir a votar",0.019,0.015,0.006,0,0.117,0.04
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.751,0.103,0.167,0.474,0.246,0.222
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.122,0.816,0.285,0.246,0.35,0.327
"P28","En blanco",0.049,0.031,0.406,0.07,0.189,0.13
"P28","No sabe",0.078,0.05,0.142,0.21,0.215,0.321
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.355,0.754,0.17,0.519,0.227,0.227
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.108,0.177,0.76,0.117,0.34,0.459
"P29","En blanco",0.339,0.034,0.052,0.276,0.211,0.18
"P29","No sabe",0.198,0.035,0.018,0.088,0.222,0.134
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.727,0.164,0.147,0.499,0.193,0.212
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.098,0.358,0.716,0.259,0.343,0.291
"P30","En blanco",0.098,0.324,0.076,0.213,0.296,0.291
"P30","No sabe",0.077,0.154,0.061,0.029,0.168,0.206
"P38","Inflación",0.409,0.381,0.334,0.345,0.182,0.543
"P38","Desempleo",0.062,0.038,0.133,0.054,0.22,0.045
"P38","Corrupción",0.181,0.361,0.339,0.355,0.206,0.215
"P38","Inseguridad",0.059,0.127,0.155,0,0.104,0.063
"P38","Precio del dólar",0.053,0.004,0,0,0.055,0
"P38","Pobreza",0.088,0.037,0.005,0.194,0.056,0.026
"P38","Narcotráfico",0.003,0.005,0,0,0,0.028
"P38","Tarifas",0.007,0.004,0,0.017,0.009,0
"P38","Otro",0.104,0.031,0.034,0.035,0.168,0.054
"P38","No sabe",0.034,0.012,0,0,0,0.026
