"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P10","Unión por la Patria",0.24,0.16,0.301
"P10","Juntos por el Cambio",0.426,0.346,0.166
"P10","De los liberales libertarios",0.232,0.21,0.188
"P10","De la Izquierda",0.034,0.079,0.096
"P10","Hacemos por nuestro país",0.028,0.056,0
"P10","Otro",0.013,0.032,0.123
"P10","En blanco",0.007,0.034,0.017
"P10","No sabe",0.02,0.083,0.109
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.244,0.231,0.232
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.413,0.293,0.207
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.233,0.244,0.091
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.042,0.033,0.087
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.029,0.075,0.2
"P13","En blanco",0.013,0.015,0.13
"P13","No sabe",0.026,0.109,0.053
"P16","Union por la Patria",0.277,0.136,0.288
"P16","Cambiemos",0.463,0.367,0.344
"P16","Liberales",0.168,0.192,0.045
"P16","Izquierda",0.038,0.006,0.039
"P16","No sabe",0.054,0.299,0.284
"P17","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.259,0.322,0.25
"P17","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.459,0.256,0.339
"P17","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.179,0.136,0.055
"P17","La candidata a Jefe de Gobierno de la izquierda",0.03,0.032,0
"P17","En blanco",0.034,0.109,0.259
"P17","No sabe",0.039,0.145,0.097
"P26","Totalmente seguro",0.718,0.248,0.314
"P26","Bastante seguro",0.127,0.406,0.068
"P26","Algo seguro",0.092,0.23,0.385
"P26","Para nada seguro",0.063,0.116,0.233
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.313,0.186,0.263
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.487,0.39,0.395
"P28","En blanco",0.112,0.211,0.203
"P28","No sabe",0.088,0.213,0.139
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.51,0.225,0.371
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.279,0.36,0.198
"P29","En blanco",0.131,0.241,0.275
"P29","No sabe",0.08,0.174,0.156
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.333,0.219,0.227
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.343,0.317,0.434
"P30","En blanco",0.214,0.249,0.262
"P30","No sabe",0.11,0.215,0.077
"P38","Inflación",0.369,0.445,0.208
"P38","Desempleo",0.069,0.046,0.135
"P38","Corrupción",0.307,0.162,0.332
"P38","Inseguridad",0.11,0.089,0.101
"P38","Precio del dólar",0.015,0.067,0.06
"P38","Pobreza",0.056,0.062,0
"P38","Narcotráfico",0.003,0.02,0
"P38","Tarifas",0.004,0.014,0
"P38","Otro",0.051,0.079,0.164
"P38","No sabe",0.016,0.016,0
"P10_imputada","Unión por la Patria",0.247,0.204,0.367
"P10_imputada","Juntos por el Cambio",0.432,0.384,0.198
"P10_imputada","De los liberales libertarios",0.234,0.21,0.199
"P10_imputada","De la Izquierda",0.037,0.079,0.096
"P10_imputada","Hacemos por nuestro país",0.029,0.056,0
"P10_imputada","Otro",0.013,0.033,0.123
"P10_imputada","En blanco",0.008,0.034,0.017
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.253,0.27,0.232
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.42,0.33,0.232
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.24,0.253,0.108
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.043,0.044,0.087
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.031,0.075,0.211
"P13_imputada","En blanco",0.013,0.028,0.13
"P16_imputada","Union por la Patria",0.29,0.236,0.443
"P16_imputada","Cambiemos",0.489,0.496,0.454
"P16_imputada","Liberales",0.18,0.262,0.064
"P16_imputada","Izquierda",0.041,0.006,0.039
"P17_imputada","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.273,0.349,0.304
"P17_imputada","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.468,0.322,0.358
"P17_imputada","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.184,0.165,0.079
"P17_imputada","Los candidatos a Jefe de Gobierno de la izquierda",0.034,0.032,0
"P17_imputada","En blanco",0.041,0.132,0.259
