"var","categoria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P10","Unión por la Patria",0.17,0.088,0.657,0.535
"P10","Juntos por el Cambio",0.69,0.203,0.074,0.106
"P10","De los liberales libertarios",0.071,0.626,0.103,0.075
"P10","De la Izquierda",0.02,0.01,0.079,0.07
"P10","Hacemos por nuestro país",0.029,0.041,0.021,0.017
"P10","Otro",0.008,0.014,0.016,0.061
"P10","En blanco",0.002,0.005,0.017,0.01
"P10","No sabe",0.01,0.013,0.033,0.126
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.168,0.08,0.673,0.557
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.691,0.184,0.053,0.107
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.045,0.683,0.046,0.059
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.037,0.014,0.096,0.051
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.036,0.02,0.078,0.022
"P13","En blanco",0.013,0.008,0.02,0.054
"P13","No sabe",0.01,0.011,0.034,0.15
"P16","Union por la Patria",0.201,0.106,0.644,0.585
"P16","Cambiemos",0.684,0.374,0.1,0.126
"P16","Liberales",0.048,0.453,0.085,0.016
"P16","Izquierda",0.032,0.021,0.07,0.033
"P16","No sabe",0.035,0.046,0.101,0.24
"P17","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.192,0.105,0.652,0.599
"P17","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.679,0.286,0.11,0.174
"P17","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.06,0.481,0.064,0.035
"P17","La candidata a Jefe de Gobierno de la izquierda",0.033,0.014,0.063,0.032
"P17","En blanco",0.019,0.051,0.062,0.103
"P17","No sabe",0.017,0.063,0.049,0.057
"P26","Totalmente seguro",0.711,0.673,0.696,0.563
"P26","Bastante seguro",0.146,0.191,0.114,0.088
"P26","Algo seguro",0.109,0.096,0.131,0.144
"P26","Para nada seguro",0.034,0.04,0.059,0.205
"P27","Tiene Decidido que va a ir a votar",0.959,0.913,0.864,0.851
"P27","Tiene dudas sobre si va a ir a  votar",0.027,0.074,0.1,0.116
"P27","Tiene Decidido que no va a ir a votar",0.014,0.013,0.036,0.033
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.252,0.095,0.739,0.608
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.681,0.474,0.045,0.064
"P28","En blanco",0.018,0.298,0.184,0.019
"P28","No sabe",0.049,0.133,0.032,0.309
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.335,0.053,0.68,0.542
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.238,0.777,0.034,0.076
"P30","En blanco",0.295,0.114,0.272,0.012
"P30","No sabe",0.132,0.056,0.014,0.37
"P38","Inflación",0.347,0.383,0.444,0.354
"P38","Desempleo",0.063,0.065,0.043,0.149
"P38","Corrupción",0.343,0.356,0.125,0.173
"P38","Inseguridad",0.113,0.121,0.06,0.133
"P38","Precio del dólar",0.013,0.008,0.04,0.041
"P38","Pobreza",0.052,0.019,0.143,0.044
"P38","Narcotráfico",0.004,0.002,0,0.014
"P38","Tarifas",0.005,0,0.014,0
"P38","Otro",0.049,0.041,0.104,0.04
"P38","No sabe",0.011,0.005,0.027,0.052
"P10_imputada","Unión por la Patria",0.17,0.09,0.684,0.594
"P10_imputada","Juntos por el Cambio",0.698,0.206,0.08,0.152
"P10_imputada","De los liberales libertarios",0.073,0.626,0.103,0.075
"P10_imputada","De la Izquierda",0.02,0.016,0.079,0.087
"P10_imputada","Hacemos por nuestro país",0.029,0.041,0.021,0.017
"P10_imputada","Otro",0.008,0.014,0.016,0.065
"P10_imputada","En blanco",0.002,0.007,0.017,0.01
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.167,0.085,0.688,0.63
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.694,0.188,0.06,0.148
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.048,0.683,0.05,0.082
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.037,0.014,0.101,0.058
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.041,0.02,0.081,0.022
"P13_imputada","En blanco",0.013,0.01,0.02,0.06
"P16_imputada","Union por la Patria",0.204,0.118,0.682,0.689
"P16_imputada","Cambiemos",0.71,0.387,0.143,0.209
"P16_imputada","Liberales",0.053,0.474,0.105,0.034
"P16_imputada","Izquierda",0.033,0.021,0.07,0.068
"P17_imputada","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.192,0.131,0.673,0.625
"P17_imputada","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.69,0.293,0.115,0.189
"P17_imputada","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.06,0.499,0.073,0.035
"P17_imputada","Los candidatos a Jefe de Gobierno de la izquierda",0.035,0.014,0.063,0.042
"P17_imputada","En blanco",0.023,0.063,0.076,0.109
