"var","categoria","Martín Lousteau por Juntos por el Cambio","Leandro Santoro por el Frente de Todos","No sabe"
"P05","Tengo trabajo estable",0.579,0.695,0.596
"P05","Realizo changas o trabajos de vez en cuando",0.096,0.068,0.112
"P05","No tengo trabajo",0.058,0.06,0.112
"P05","Soy jubilado o pensionado",0.267,0.177,0.18
"P06","1",0.331,0.132,0.383
"P06","2",0.047,0.041,0.11
"P06","3",0.113,0.022,0.075
"P06","4",0.096,0.051,0.063
"P06","5",0.218,0.16,0.129
"P06","6",0.057,0.072,0.016
"P06","7",0.047,0.21,0.06
"P06","8",0.038,0.112,0.042
"P06","9",0.053,0.2,0.122
"P07","1",0.089,0.469,0.126
"P07","2",0.026,0.115,0.023
"P07","3",0.025,0.106,0.02
"P07","4",0.037,0.066,0.033
"P07","5",0.196,0.115,0.151
"P07","6",0.08,0.014,0.032
"P07","7",0.161,0.042,0.107
"P07","8",0.104,0.022,0.128
"P07","9",0.282,0.051,0.38
"P08","1",0.255,0.74,0.254
"P08","2",0.029,0.05,0.038
"P08","3",0.059,0.046,0.018
"P08","4",0.033,0.01,0.017
"P08","5",0.177,0.061,0.127
"P08","6",0.048,0.006,0.033
"P08","7",0.061,0.01,0.082
"P08","8",0.059,0.015,0.039
"P08","9",0.279,0.062,0.392
"P10","Del Frente de Todos y el peronismo",0.044,0.811,0.049
"P10","De Cambiemos",0.731,0.049,0.414
"P10","De los Liberales libertarios",0.17,0.031,0.402
"P10","De la Izquierda",0.002,0.045,0.078
"P10","No sabe",0.053,0.064,0.057
"P11","A Alberto Fernández",0.316,0.095,0.228
"P11","A Sergio Massa",0.372,0.195,0.386
"P11","A algún candidato del peronismo",0.288,0.096,0.264
"P11","A algún candidato del kirchnerismo",0.024,0.614,0.122
"P12","A Alberto Fernández",0.151,0.044,0.081
"P12","A Sergio Massa",0.298,0.095,0.345
"P12","A algún candidato del peronismo",0.351,0.065,0.38
"P12","A Cristina Fernández de Kirchner",0.2,0.796,0.194
"P13","A Horacio Rodriguez Larreta",0.234,0.118,0.065
"P13","A Mauricio Macri",0.308,0.1,0.407
"P13","A Patricia Bullrich",0.398,0.198,0.51
"P13","A Facundo Manes",0.037,0.584,0.018
"P13","A Gerardo Morales",0.023,0,0
"P14","Del Frente de Todos y el peronismo",0.025,0.768,0.024
"P14","A Juntos por el Cambio",0.778,0.037,0.439
"P14","De los Liberales libertarios",0.15,0.041,0.376
"P14","De la Izquierda",0.009,0.103,0.083
"P14","No sabe",0.038,0.051,0.078
"P16","A Leandro Santoro",0.637,0.702,0.368
"P16","A Matias Lammens",0.341,0.126,0.632
