"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.146,0.135,0.156,0.106,0.098,0.175,0.221,0.133,0.167,0.136,0.03,0.245,0.111
"Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.147,0.148,0.146,0.06,0.127,0.199,0.182,0.121,0.119,0.172,0.02,0.254,0.105
"Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.024,0.021,0.027,0,0.03,0.027,0.028,0.038,0.022,0.022,0.013,0.033,0.034
"Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.057,0.048,0.065,0.038,0.06,0.059,0.063,0.027,0.059,0.065,0.026,0.085,0.079
"Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.091,0.081,0.099,0.076,0.081,0.107,0.101,0.083,0.078,0.102,0.024,0.138,0.241
"Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.175,0.151,0.195,0.144,0.194,0.181,0.157,0.125,0.166,0.194,0.459,0.03,0.081
"Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.081,0.067,0.092,0.106,0.101,0.052,0.061,0.103,0.083,0.073,0.208,0.016,0.05
"Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.096,0.157,0.044,0.22,0.106,0.063,0.031,0.091,0.11,0.087,0.035,0.077,0.136
"A los candidatos de la izquierda",0.049,0.056,0.043,0.061,0.073,0.033,0.019,0.059,0.034,0.056,0.077,0.006,0.028
"No sabe",0.134,0.136,0.133,0.189,0.13,0.104,0.137,0.22,0.162,0.093,0.108,0.116,0.135
