"var","categoria","Jorge Macri por Juntos por el Cambio","Leandro Santoro por el Frente de Todos","No sabe"
"P05","Tengo trabajo estable",0.554,0.698,0.682
"P05","Realizo changas o trabajos de vez en cuando",0.094,0.066,0.136
"P05","No tengo trabajo",0.07,0.063,0.08
"P05","Soy jubilado o pensionado",0.282,0.173,0.102
"P06","1",0.362,0.135,0.297
"P06","2",0.066,0.041,0.056
"P06","3",0.126,0.016,0.046
"P06","4",0.096,0.052,0.048
"P06","5",0.194,0.156,0.182
"P06","6",0.038,0.083,0.047
"P06","7",0.043,0.209,0.086
"P06","8",0.028,0.114,0.066
"P06","9",0.047,0.194,0.172
"P07","1",0.084,0.463,0.141
"P07","2",0.027,0.108,0.029
"P07","3",0.021,0.109,0.035
"P07","4",0.03,0.065,0.054
"P07","5",0.164,0.117,0.245
"P07","6",0.066,0.015,0.06
"P07","7",0.159,0.051,0.093
"P07","8",0.13,0.015,0.05
"P07","9",0.319,0.057,0.293
"P08","1",0.223,0.739,0.344
"P08","2",0.031,0.049,0.036
"P08","3",0.054,0.049,0.031
"P08","4",0.027,0.015,0.024
"P08","5",0.162,0.065,0.154
"P08","6",0.052,0.003,0.027
"P08","7",0.064,0.011,0.073
"P08","8",0.063,0.011,0.026
"P08","9",0.324,0.058,0.285
"P10","Del Frente de Todos y el peronismo",0.029,0.811,0.077
"P10","De Cambiemos",0.734,0.056,0.287
"P10","De los Liberales libertarios",0.195,0.029,0.424
"P10","De la Izquierda",0.003,0.042,0.102
"P10","No sabe",0.039,0.062,0.11
"P11","A Alberto Fernández",0.2,0.105,0.241
"P11","A Sergio Massa",0.381,0.199,0.33
"P11","A algún candidato del peronismo",0.389,0.092,0.349
"P11","A algún candidato del kirchnerismo",0.03,0.604,0.08
"P12","A Alberto Fernández",0.2,0.045,0
"P12","A Sergio Massa",0.223,0.101,0.357
"P12","A algún candidato del peronismo",0.517,0.06,0.342
"P12","A Cristina Fernández de Kirchner",0.06,0.794,0.301
"P13","A Horacio Rodriguez Larreta",0.181,0.361,0.29
"P13","A Mauricio Macri",0.349,0.042,0.144
"P13","A Patricia Bullrich",0.437,0.1,0.34
"P13","A Facundo Manes",0.018,0.497,0.172
"P13","A Gerardo Morales",0.015,0,0.054
"P14","Del Frente de Todos y el peronismo",0.019,0.758,0.04
"P14","A Juntos por el Cambio",0.777,0.042,0.324
"P14","De los Liberales libertarios",0.178,0.043,0.377
"P14","De la Izquierda",0.003,0.11,0.105
"P14","No sabe",0.023,0.047,0.154
"P16","A Leandro Santoro",0.495,0.698,0.718
"P16","A Matias Lammens",0.505,0.132,0.065
"P16","A Mariano Recalde",0,0.17,0.217
"P17","A Soledad Acuña",0.045,0.119,0.045
"P17","A Jorge Macri",0.339,0.025,0.097
"P17","A Martín Lousteau",0.184,0.606,0.421
"P17","A Fernan Quirós",0.191,0.202,0.299
"P17","A Ricardo López Murphy",0.241,0.048,0.138
"P18","Lo votaría",0.252,0.075,0.253
"P18","Puede que lo vote",0.344,0.085,0.156
"P18","Nunca lo votaría",0.318,0.771,0.478
"P18","No sabe",0.086,0.069,0.113
"P19","Lo votaría",0.039,0.67,0.028
"P19","Puede que lo vote",0.075,0.188,0.104
"P19","Nunca lo votaría",0.797,0.106,0.743
"P19","No sabe",0.089,0.036,0.125
"P20","Lo votaría",0.128,0.071,0.054
"P20","Puede que lo vote",0.371,0.062,0.153
"P20","Nunca lo votaría",0.384,0.802,0.613
"P20","No sabe",0.117,0.065,0.18
"P21","Lo votaría",0.025,0.276,0.031
"P21","Puede que lo vote",0.063,0.427,0.053
"P21","Nunca lo votaría",0.821,0.226,0.794
"P21","No sabe",0.091,0.071,0.122
"P22","Lo votaría",0.348,0.079,0.145
"P22","Puede que lo vote",0.346,0.156,0.19
"P22","Nunca lo votaría",0.223,0.704,0.535
"P22","No sabe",0.083,0.061,0.13
"P23","Lo votaría",0.487,0.026,0.051
"P23","Puede que lo vote",0.353,0.047,0.201
"P23","Nunca lo votaría",0.113,0.912,0.6
"P23","No sabe",0.047,0.015,0.148
"P24","Lo votaría",0.364,0.02,0.137
"P24","Puede que lo vote",0.352,0.022,0.189
"P24","Nunca lo votaría",0.245,0.942,0.607
"P24","No sabe",0.039,0.016,0.067
"P25","Lo votaría",0.451,0.022,0.167
"P25","Puede que lo vote",0.341,0.051,0.245
"P25","Nunca lo votaría",0.162,0.908,0.46
"P25","No sabe",0.046,0.019,0.128
"P26","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.318,0.01,0.041
"P26","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.286,0.004,0.186
"P26","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.042,0.011,0.033
"P26","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.115,0.022,0.062
"P26","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.118,0.022,0.197
"P26","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.009,0.641,0.036
"P26","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.011,0.229,0.028
"P26","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.099,0.024,0.305
"P26","A los candidatos de la izquierda",0.002,0.037,0.112
"P26","No sabe",0,0,0
"P27","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.318,0.005,0.04
"P27","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.308,0.004,0.198
"P27","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.037,0.009,0.022
"P27","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.103,0.023,0.063
"P27","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.12,0.012,0.188
"P27","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.007,0.624,0.036
"P27","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.003,0.223,0.037
"P27","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.1,0.017,0.305
"P27","A los candidatos de la izquierda",0.004,0.083,0.111
"P27","No sabe",0,0,0
"P28","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.4,0.015,0.048
"P28","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.095,0.008,0.034
"P28","A Martín Lousteau como Jefe de Gobierno",0.184,0.041,0.257
"P28","A Ricardo López Murphy como Jefe de Gobierno",0.188,0.022,0.108
"P28","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.004,0.711,0.036
"P28","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.009,0.111,0.041
"P28","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.089,0.028,0.301
